primer_set,primer_name,count,h_sample%
Niu-set,Niu-N,492399,0.7400879269529929
Niu-set,Niu-RdRp,368998,0.5546131589824522
Niu-set,Niu-ORF1ab,4698,0.007061210686506595
Niu-set,Niu-E,2943,0.004423402096719649
Won-set,Won-RdRp-1,366911,0.5514763461466201
Won-set,Won-RdRp-3,30637,0.04604817194604141
Won-set,Won-RdRp-2,13447,0.020211174989666705
Won-set,Won-N-2,12281,0.018458648029158684
Won-set,Won-E-2,9999,0.01502874535001691
Won-set,Won-E-1,9713,0.014598880246496073
Won-set,Won-N-1,8509,0.012789238342163604
Won-set,Won-S-1,4194,0.006303686168413933
Won-set,Won-S-2,3083,0.00463382557396761
Davi-set,Davi-S-2,173600,0.2609251117874723
Davi-set,Davi-S-1,156525,0.2352609626874084
Davi-set,Davi-ORF1a-4,70452,0.10589110585052418
Davi-set,Davi-ORF1b-1,12795,0.019231202795626196
Davi-set,Davi-ORF1a-1,12421,0.018669071506406645
Davi-set,Davi-ORF1b-2,9702,0.014582346973283734
Davi-set,Davi-ORF1b-3,9005,0.013534738661556382
Davi-set,Davi-ORF1a-3,8869,0.013330327283658362
Davi-set,Davi-ORF1a-2,3888,0.005843760568143388
Corman-set,Corman-RdRp,367370,0.5521662345470258
Corman-set,Corman-E,9684,0.014555292526208996
Corman-set,Corman-N,9289,0.013961597715402247
Tombuloglu-set,Tombuloglu-RdRp,367255,0.5519933866907151
Tombuloglu-set,Tombuloglu-E,10558,0.01586893623417127
Sarkar-set,Sarkar-S,362973,0.5455574343366024
Sarkar-set,Sarkar-E,9867,0.01483034607146883
Sarkar-set,Sarkar-RdRp,2513,0.0037771014166009093
Sarkar-set,Sarkar-N,1122,0.001686393867658663
Young-set,Young-S,131396,0.1974914515462368
Young-set,Young-N,6742,0.010133393454326832
Young-set,Young-ORF1ab,4463,0.006707999849697516
Lu-set,Lu-N-1,32709,0.04916243940931124
Lu-set,Lu-N-3,16953,0.025480780069890654
Lu-set,Lu-N-2,13284,0.01996618194115658
Chan-set,Chan-S,23916,0.03594634201330177
Chan-set,Chan-N,12278,0.018454138954646225
Chan-set,Chan-RdRp,4018,0.0060391537970164956
IP-set,IP-RdRp-2,32506,0.048857325367301696
IP-set,IP-RdRp-1,6659,0.010008642392815542
Chu-set,Chu-N,19556,0.029393153721865253
Chu-set,Chu-ORF1ab,5165,0.0077631232856122945
Mollaei-set,Mollaei-E,10146,0.015249690001127268
Mollaei-set,Mollaei-RdRp,6531,0.009816255213617404
Mollaei-set,Mollaei-S,3772,0.005669409686995077
Mollaei-set,Mollaei-N,3165,0.004757073610641416
Mollaei-set,Mollaei-ORF1ab,1062,0.0015962123774095366
DMSC-set,DMSC-N,14027,0.02108292939540826
Shirato-set,Shirato-N,9834,0.014780746251831811
Yip-set,Yip-ORF1ab,4730,0.007109307481306128
Huang-set,Huang-E,2694,0.004049148912185774
