collection_date,allpos_count
2021-01-01,8334
2021-01-02,1546
2021-01-03,1342
2021-01-04,2431
2021-01-05,2303
2021-01-06,1897
2021-01-07,1724
2021-01-08,1918
2021-01-09,1730
2021-01-10,1341
2021-01-11,2377
2021-01-12,2466
2021-01-13,1868
2021-01-14,1848
2021-01-15,2188
2021-01-16,1670
2021-01-17,1249
2021-01-18,2410
2021-01-19,1991
2021-01-20,1737
2021-01-21,1721
2021-01-22,1715
2021-01-23,1157
2021-01-24,1192
2021-01-25,2727
2021-01-26,2274
2021-01-27,2476
2021-01-28,1836
2021-01-29,2086
2021-01-30,1557
2021-01-31,1520
2021-02-01,2375
2021-02-02,2008
2021-02-03,1795
2021-02-04,1668
2021-02-05,1534
2021-02-06,1694
2021-02-07,1392
2021-02-08,3108
2021-02-09,2445
2021-02-10,2545
2021-02-11,2254
2021-02-12,1994
2021-02-13,1872
2021-02-14,1880
2021-02-15,2498
2021-02-16,2340
2021-02-17,1941
2021-02-18,1569
2021-02-19,1615
2021-02-20,1579
2021-02-21,1834
2021-02-22,2836
2021-02-23,2292
2021-02-24,2292
2021-02-25,2594
2021-02-26,2009
2021-02-27,1461
2021-02-28,1424
2021-03-01,2683
2021-03-02,2957
2021-03-03,3182
2021-03-04,2808
2021-03-05,2157
2021-03-06,1600
2021-03-07,1795
2021-03-08,3308
2021-03-09,3011
2021-03-10,3255
2021-03-11,3107
2021-03-12,3605
2021-03-13,2888
2021-03-14,2602
2021-03-15,3816
2021-03-16,3756
2021-03-17,3169
2021-03-18,3395
2021-03-19,3035
2021-03-20,2694
2021-03-21,2713
2021-03-22,3637
2021-03-23,3252
2021-03-24,3697
2021-03-25,3457
2021-03-26,2635
2021-03-27,2239
2021-03-28,1888
2021-03-29,3246
2021-03-30,2966
2021-03-31,3101
2021-04-01,3406
2021-04-02,3472
2021-04-03,2872
2021-04-04,2064
2021-04-05,3639
2021-04-06,3390
2021-04-07,2918
2021-04-08,2692
2021-04-09,3626
2021-04-10,2834
2021-04-11,2336
2021-04-12,3693
2021-04-13,3552
2021-04-14,3576
2021-04-15,2672
2021-04-16,2328
2021-04-17,1993
2021-04-18,1533
2021-04-19,3087
2021-04-20,2277
2021-04-21,2816
2021-04-22,2442
2021-04-23,2197
2021-04-24,1396
2021-04-25,1270
2021-04-26,2474
2021-04-27,2459
2021-04-28,2334
2021-04-29,2572
2021-04-30,2153
2021-05-01,1324
2021-05-02,1094
2021-05-03,2274
2021-05-04,2589
2021-05-05,2009
2021-05-06,1965
2021-05-07,1959
2021-05-08,1216
2021-05-09,965
2021-05-10,2169
2021-05-11,2136
2021-05-12,1665
2021-05-13,1756
2021-05-14,1399
2021-05-15,1050
2021-05-16,1107
2021-05-17,2300
2021-05-18,2118
2021-05-19,1975
2021-05-20,1647
2021-05-21,1423
2021-05-22,1006
2021-05-23,707
2021-05-24,1548
2021-05-25,1584
2021-05-26,1464
2021-05-27,1201
2021-05-28,1004
2021-05-29,879
2021-05-30,779
2021-05-31,656
2021-06-01,1120
2021-06-02,998
2021-06-03,942
2021-06-04,1109
2021-06-05,751
2021-06-06,729
2021-06-07,1728
2021-06-08,1896
2021-06-09,1895
2021-06-10,1553
2021-06-11,1480
2021-06-12,905
2021-06-13,779
2021-06-14,1418
2021-06-15,1324
2021-06-16,998
2021-06-17,1026
2021-06-18,983
2021-06-19,754
2021-06-20,1022
2021-06-21,1779
2021-06-22,1515
2021-06-23,1802
2021-06-24,1572
2021-06-25,1393
2021-06-26,1271
2021-06-27,1233
2021-06-28,2889
2021-06-29,3386
2021-06-30,2706
2021-07-01,3014
2021-07-02,2479
2021-07-03,2054
2021-07-04,2102
2021-07-05,3813
2021-07-06,3768
2021-07-07,3822
2021-07-08,3120
2021-07-09,3385
2021-07-10,2908
2021-07-11,2748
2021-07-12,4297
2021-07-13,3540
2021-07-14,3313
2021-07-15,3317
2021-07-16,3649
2021-07-17,3359
2021-07-18,2852
2021-07-19,4902
2021-07-20,4733
2021-07-21,4667
2021-07-22,3706
2021-07-23,3829
2021-07-24,3535
2021-07-25,3967
2021-07-26,5279
2021-07-27,5240
2021-07-28,5834
2021-07-29,6774
2021-07-30,6502
2021-07-31,5499
2021-08-01,4062
2021-08-02,7486
2021-08-03,7733
2021-08-04,6531
2021-08-05,6530
2021-08-06,6241
2021-08-07,4717
2021-08-08,3098
2021-08-09,7006
2021-08-10,6633
2021-08-11,4790
2021-08-12,4433
2021-08-13,3988
2021-08-14,3253
2021-08-15,2363
2021-08-16,5500
2021-08-17,4651
2021-08-18,3228
2021-08-19,3050
2021-08-20,4220
2021-08-21,3110
2021-08-22,2526
2021-08-23,4576
2021-08-24,5253
2021-08-25,4463
2021-08-26,5445
2021-08-27,5218
2021-08-28,3274
2021-08-29,2648
2021-08-30,6685
2021-08-31,8001
2021-09-01,6164
2021-09-02,5937
2021-09-03,4934
2021-09-04,3795
2021-09-05,3823
2021-09-06,3676
2021-09-07,8641
2021-09-08,7570
2021-09-09,7460
2021-09-10,6854
2021-09-11,4654
2021-09-12,4788
2021-09-13,8130
2021-09-14,6940
2021-09-15,6594
2021-09-16,6968
2021-09-17,7396
2021-09-18,5086
2021-09-19,5035
2021-09-20,8670
2021-09-21,7351
2021-09-22,5836
2021-09-23,5994
2021-09-24,6061
2021-09-25,3917
2021-09-26,4200
2021-09-27,7904
2021-09-28,6730
2021-09-29,6792
2021-09-30,5872
2021-10-01,4908
2021-10-02,2876
2021-10-03,2831
2021-10-04,5649
2021-10-05,6069
2021-10-06,5709
2021-10-07,6408
2021-10-08,4917
2021-10-09,4130
2021-10-10,4097
2021-10-11,7345
2021-10-12,6773
2021-10-13,5671
2021-10-14,6125
2021-10-15,5618
2021-10-16,3786
