collection_date,variant_id,allpos_count
2021-01-01,Alpha,1735
2021-01-01,Beta,37
2021-01-01,Delta,4470
2021-01-01,Epsilon,71
2021-01-01,Eta,9
2021-01-01,Gamma,38
2021-01-01,Iota (E484K),37
2021-01-01,Iota (S477N),7
2021-01-01,Lambda,1
2021-01-01,Mu,1
2021-01-01,Omicron,27
2021-01-01,Other variant,1890
2021-01-01,Zeta,11
2021-01-02,Alpha,749
2021-01-02,Beta,32
2021-01-02,Delta,1
2021-01-02,Epsilon,22
2021-01-02,Gamma,1
2021-01-02,Iota (E484K),2
2021-01-02,Other variant,734
2021-01-02,Zeta,5
2021-01-03,Alpha,618
2021-01-03,Beta,18
2021-01-03,Epsilon,32
2021-01-03,Iota,2
2021-01-03,Iota (S477N),1
2021-01-03,Omicron,1
2021-01-03,Other variant,668
2021-01-03,Zeta,2
2021-01-04,Alpha,900
2021-01-04,Beta,24
2021-01-04,Epsilon,137
2021-01-04,Iota,2
2021-01-04,Iota (E484K),1
2021-01-04,Iota (S477N),2
2021-01-04,Other variant,1362
2021-01-04,Zeta,3
2021-01-05,Alpha,756
2021-01-05,Beta,30
2021-01-05,Epsilon,169
2021-01-05,Iota,3
2021-01-05,Iota (E484K),2
2021-01-05,Iota (S477N),1
2021-01-05,Other variant,1338
2021-01-05,Zeta,4
2021-01-06,Alpha,554
2021-01-06,Beta,14
2021-01-06,Delta,3
2021-01-06,Epsilon,100
2021-01-06,Eta,4
2021-01-06,Iota (E484K),1
2021-01-06,Iota (S477N),1
2021-01-06,Other variant,1216
2021-01-06,Zeta,4
2021-01-07,Alpha,626
2021-01-07,Beta,23
2021-01-07,Epsilon,73
2021-01-07,Iota,4
2021-01-07,Iota (E484K),4
2021-01-07,Iota (S477N),1
2021-01-07,Omicron,1
2021-01-07,Other variant,988
2021-01-07,Zeta,4
2021-01-08,Alpha,842
2021-01-08,Beta,35
2021-01-08,Epsilon,124
2021-01-08,Eta,1
2021-01-08,Other variant,912
2021-01-08,Zeta,4
2021-01-09,Alpha,849
2021-01-09,Beta,9
2021-01-09,Delta,27
2021-01-09,Epsilon,136
2021-01-09,Gamma,1
2021-01-09,Other variant,706
2021-01-09,Zeta,2
2021-01-10,Alpha,741
2021-01-10,Beta,6
2021-01-10,Epsilon,56
2021-01-10,Omicron,1
2021-01-10,Other variant,536
2021-01-10,Zeta,1
2021-01-11,Alpha,1014
2021-01-11,Beta,29
2021-01-11,Delta,2
2021-01-11,Epsilon,130
2021-01-11,Eta,1
2021-01-11,Gamma,2
2021-01-11,Omicron,1
2021-01-11,Other variant,1192
2021-01-11,Zeta,6
2021-01-12,Alpha,1111
2021-01-12,Beta,28
2021-01-12,Epsilon,113
2021-01-12,Iota (E484K),1
2021-01-12,Other variant,1211
2021-01-12,Zeta,2
2021-01-13,Alpha,858
2021-01-13,Beta,32
2021-01-13,Epsilon,82
2021-01-13,Eta,2
2021-01-13,Other variant,887
2021-01-13,Zeta,7
2021-01-14,Alpha,870
2021-01-14,Beta,22
2021-01-14,Delta,1
2021-01-14,Epsilon,122
2021-01-14,Eta,3
2021-01-14,Iota,1
2021-01-14,Other variant,828
2021-01-14,Zeta,1
2021-01-15,Alpha,1116
2021-01-15,Beta,17
2021-01-15,Epsilon,128
2021-01-15,Eta,3
2021-01-15,Other variant,923
2021-01-15,Zeta,1
2021-01-16,Alpha,864
2021-01-16,Beta,13
2021-01-16,Epsilon,140
2021-01-16,Iota (E484K),1
2021-01-16,Iota (S477N),1
2021-01-16,Other variant,650
2021-01-16,Zeta,1
2021-01-17,Alpha,722
2021-01-17,Beta,10
2021-01-17,Epsilon,55
2021-01-17,Eta,1
2021-01-17,Other variant,459
2021-01-17,Zeta,2
2021-01-18,Alpha,1278
2021-01-18,Beta,35
2021-01-18,Epsilon,95
2021-01-18,Eta,1
2021-01-18,Gamma,5
2021-01-18,Iota,1
2021-01-18,Other variant,991
2021-01-18,Zeta,4
2021-01-19,Alpha,897
2021-01-19,Beta,21
2021-01-19,Epsilon,105
2021-01-19,Eta,2
2021-01-19,Other variant,963
2021-01-19,Zeta,3
2021-01-20,Alpha,878
2021-01-20,Beta,5
2021-01-20,Epsilon,48
2021-01-20,Eta,3
2021-01-20,Gamma,1
2021-01-20,Iota (E484K),2
2021-01-20,Other variant,793
2021-01-20,Zeta,7
2021-01-21,Alpha,834
2021-01-21,Beta,52
2021-01-21,Epsilon,56
2021-01-21,Eta,1
2021-01-21,Gamma,1
2021-01-21,Iota,1
2021-01-21,Iota (E484K),1
2021-01-21,Other variant,766
2021-01-21,Zeta,9
2021-01-22,Alpha,974
2021-01-22,Beta,41
2021-01-22,Epsilon,39
2021-01-22,Eta,1
2021-01-22,Omicron,1
2021-01-22,Other variant,651
2021-01-22,Zeta,8
2021-01-23,Alpha,671
2021-01-23,Beta,16
2021-01-23,Epsilon,25
2021-01-23,Iota,1
2021-01-23,Iota (E484K),1
2021-01-23,Iota (S477N),1
2021-01-23,Other variant,440
2021-01-23,Zeta,2
2021-01-24,Alpha,629
2021-01-24,Beta,33
2021-01-24,Epsilon,39
2021-01-24,Iota,1
2021-01-24,Iota (E484K),1
2021-01-24,Other variant,486
2021-01-24,Zeta,3
2021-01-25,Alpha,1410
2021-01-25,Beta,22
2021-01-25,Epsilon,89
2021-01-25,Eta,2
2021-01-25,Iota,1
2021-01-25,Iota (E484K),1
2021-01-25,Iota (S477N),1
2021-01-25,Other variant,1190
2021-01-25,Zeta,11
2021-01-26,Alpha,1342
2021-01-26,Beta,11
2021-01-26,Epsilon,64
2021-01-26,Eta,4
2021-01-26,Gamma,7
2021-01-26,Iota,1
2021-01-26,Iota (E484K),3
2021-01-26,Iota (S477N),1
2021-01-26,Other variant,824
2021-01-26,Zeta,17
2021-01-27,Alpha,1536
2021-01-27,Beta,3
2021-01-27,Epsilon,75
2021-01-27,Eta,4
2021-01-27,Gamma,2
2021-01-27,Iota,3
2021-01-27,Iota (E484K),9
2021-01-27,Iota (S477N),3
2021-01-27,Other variant,832
2021-01-27,Zeta,9
2021-01-28,Alpha,1112
2021-01-28,Beta,4
2021-01-28,Epsilon,99
2021-01-28,Eta,1
2021-01-28,Gamma,2
2021-01-28,Iota,1
2021-01-28,Iota (E484K),2
2021-01-28,Iota (S477N),1
2021-01-28,Lambda,1
2021-01-28,Other variant,608
2021-01-28,Zeta,5
2021-01-29,Alpha,1376
2021-01-29,Beta,7
2021-01-29,Epsilon,69
2021-01-29,Eta,2
2021-01-29,Gamma,1
2021-01-29,Iota,9
2021-01-29,Iota (E484K),21
2021-01-29,Iota (S477N),7
2021-01-29,Other variant,585
2021-01-29,Zeta,9
2021-01-30,Alpha,1091
2021-01-30,Beta,5
2021-01-30,Epsilon,21
2021-01-30,Eta,1
2021-01-30,Iota (E484K),10
2021-01-30,Iota (S477N),10
2021-01-30,Lambda,4
2021-01-30,Other variant,415
2021-01-31,Alpha,957
2021-01-31,Beta,9
2021-01-31,Epsilon,43
2021-01-31,Iota,5
2021-01-31,Iota (E484K),15
2021-01-31,Iota (S477N),6
2021-01-31,Other variant,479
2021-01-31,Zeta,6
2021-02-01,Alpha,1112
2021-02-01,Beta,19
2021-02-01,Epsilon,115
2021-02-01,Eta,4
2021-02-01,Gamma,6
2021-02-01,Iota,2
2021-02-01,Iota (E484K),4
2021-02-01,Lambda,1
2021-02-01,Other variant,1100
2021-02-01,Zeta,12
2021-02-02,Alpha,966
2021-02-02,Beta,9
2021-02-02,Epsilon,183
2021-02-02,Eta,2
2021-02-02,Iota,5
2021-02-02,Iota (E484K),10
2021-02-02,Iota (S477N),2
2021-02-02,Lambda,2
2021-02-02,Other variant,826
2021-02-02,Zeta,3
2021-02-03,Alpha,900
2021-02-03,Beta,13
2021-02-03,Epsilon,133
