collection_date,allpos_count
2021-09-26,11847
2022-03-22,3097
2021-02-21,5771
2021-10-16,12786
2021-03-09,13507
2021-05-17,17892
2021-05-24,14095
2021-06-05,6882
2021-12-21,34646
2021-11-15,32126
2021-03-19,11565
2021-01-30,5780
2021-03-16,15877
2021-09-06,23007
2021-10-26,25627
2021-03-30,16824
2021-07-08,13531
2021-08-07,21543
2021-12-18,23744
2021-09-08,28529
2022-01-27,30456
2021-01-04,13250
2022-03-02,19735
2021-01-10,4170
2021-08-11,24117
2022-03-17,12056
2021-04-23,13393
2021-07-18,10251
2022-02-20,16659
2022-03-04,16964
2021-06-20,4879
2021-11-22,34027
2021-12-13,35806
2021-02-27,6066
2021-01-20,7872
2021-07-31,17389
2022-02-16,25686
2021-10-15,19160
2021-07-05,14775
2022-03-13,13366
2021-07-27,25296
2021-12-04,22081
2021-09-01,36899
2021-07-23,19679
2021-06-26,8084
2021-09-29,23793
2021-10-25,27221
2022-01-19,39225
2022-02-19,18537
2022-03-15,12174
2021-03-22,21312
2021-08-10,31123
2021-08-06,25981
2021-06-07,13777
2022-02-05,22727
2022-02-10,27323
2022-03-23,760
2021-02-11,9297
2022-03-18,10395
2021-06-01,17091
2022-01-07,31970
2021-05-10,18646
2021-10-20,21447
2021-06-17,7934
2022-01-01,65506
2021-01-25,13241
2021-07-01,18072
2022-02-28,21784
2022-02-22,27228
2021-08-09,27161
2021-11-06,17067
2021-11-13,18764
2021-01-22,7344
2021-03-12,12250
2021-06-11,6975
2021-09-27,25955
2021-06-24,9124
2021-10-27,24003
2021-12-30,40103
2021-04-25,6972
2021-11-07,16827
2021-05-02,6960
2021-07-15,15732
2021-03-17,13009
2021-01-08,6107
2021-05-27,8662
2021-12-17,27216
2022-01-08,22245
2021-02-01,18473
2021-01-14,7886
2021-08-08,17026
2021-07-16,16924
2021-10-07,22857
2021-12-28,41136
2022-01-24,40440
2021-08-27,26449
2021-12-05,20496
2021-07-10,9349
2022-02-12,21882
2021-02-28,5694
2022-02-21,33856
2021-11-05,25405
2021-01-07,6116
2022-02-06,22769
2021-01-17,4831
2021-01-12,8625
2021-05-14,9801
2022-03-26,2
2021-05-15,6873
2021-06-28,12999
2021-01-27,9655
2022-02-04,27620
2021-03-14,7172
2021-10-12,24224
2021-05-28,8014
2021-08-04,28067
2021-11-16,29758
2021-06-22,11417
2021-03-24,14303
2021-04-27,16036
2021-06-03,9233
2021-11-24,25062
2021-12-01,38262
2022-02-01,35612
2022-02-13,18778
2022-02-14,38133
2021-10-13,19669
2021-05-09,5962
2021-01-15,8297
2021-11-12,24204
2021-04-08,14831
2021-04-17,9391
2021-06-25,8199
2022-03-12,10926
2021-07-09,13185
2021-12-12,18018
2022-01-14,33924
2021-04-28,14188
2021-12-29,42937
2022-03-19,9824
2021-10-01,24178
2022-02-25,16123
2021-03-15,19922
2021-02-05,7117
2021-07-30,24058
2021-04-26,20734
2021-06-19,5072
2022-01-16,21052
2022-02-18,22951
2021-06-29,14403
2021-11-27,17752
2022-01-06,34424
2022-03-10,13672
2021-01-09,5613
2021-09-25,11884
2021-10-19,25268
2022-02-26,12900
2021-11-17,27291
2022-01-29,21520
2021-06-12,4231
2021-08-19,32837
2021-04-07,15268
2021-11-02,26946
2021-04-22,14142
2021-02-20,5985
2021-08-17,34458
2021-12-27,45785
2021-08-22,14535
2021-05-25,10688
2021-05-23,4267
2022-01-04,49518
2021-01-05,7938
2022-02-17,26910
2021-04-18,7055
2021-04-04,7878
2021-12-31,21843
2021-10-18,25582
2021-08-13,23525
2021-09-13,29313
2021-05-20,9370
2021-09-14,25769
2021-03-08,17557
2021-08-18,35107
2022-01-31,42670
2021-02-15,13913
2021-04-10,10455
2021-05-01,14918
2021-12-16,29329
2021-11-01,36984
2021-03-05,10447
2022-03-25,6
2022-03-07,26952
2021-04-11,8070
2021-07-24,16249
2021-12-03,26727
2022-03-06,14601
2021-03-29,20859
2022-03-09,19404
2021-07-02,10652
2021-04-02,11523
2021-05-04,13663
2021-09-18,14192
2021-09-19,13558
2021-11-10,28945
2022-02-07,40757
2022-03-28,1
2021-01-19,9294
2021-01-16,5837
2021-03-01,23244
2021-09-16,22658
2021-10-02,12613
2021-11-29,42126
2022-03-27,4
2021-01-31,4720
2021-08-16,32668
2021-11-08,33400
2022-02-02,32566
2021-03-27,9024
2021-06-30,12085
2021-10-23,16873
2021-05-19,10582
2021-12-11,18821
2021-04-09,14434
2021-01-29,8911
2021-03-07,5676
2021-07-26,26343
2021-04-13,16871
2021-06-18,8812
2021-09-23,20286
2021-11-14,15070
2021-05-18,11926
2021-07-07,16190
2021-03-31,14933
2021-04-12,21190
2021-08-05,27856
2021-06-16,8957
2021-08-12,26174
2021-10-21,21319
2021-03-26,13253
2021-09-09,27716
2022-01-03,51318
2022-03-16,11329
2021-11-04,26468
2021-08-20,27895
2021-01-01,67939
2021-05-03,20113
2021-10-17,12041
2021-11-25,18294
2022-01-11,40372
2022-01-18,44065
2021-01-13,7142
2021-02-23,10370
2021-03-28,7595
2021-11-26,24751
2021-02-24,10911
2021-10-31,16196
2021-02-25,11394
2021-07-28,24671
2021-10-08,19791
2021-05-07,12157
2021-08-23,30768
2021-05-11,12860
2021-06-09,8818
2022-02-23,23779
2021-08-15,18376
2021-11-09,29235
2021-02-22,15057
2021-04-01,23324
2021-02-19,8968
2022-01-12,35208
2022-01-28,26005
2021-02-16,10958
2021-02-02,9478
2021-09-07,32355
2022-01-17,43810
2021-09-12,14711
2021-11-21,17549
2021-01-24,3991
2021-12-26,22092
2022-03-11,12725
2021-03-04,10368
2021-08-28,17579
2021-11-11,24598
2021-03-06,6576
2021-03-10,13469
2022-01-05,39201
2022-01-25,35004
2022-02-11,25791
2022-02-27,11314
2021-07-04,8147
2021-10-14,20261
2021-08-30,30969
2022-02-24,17106
2021-06-14,9568
2021-09-02,27571
2021-02-26,9789
2021-05-05,13688
2021-08-14,19470
2021-12-24,16550
2021-07-06,14059
2021-09-04,16851
2021-05-06,12761
2021-09-20,26147
2022-03-24,238
2021-03-25,14518
2021-09-30,20882
2021-02-18,9028
2021-09-15,22559
2021-09-17,22499
2022-01-10,43773
2021-10-28,23654
2022-01-02,28106
2021-02-09,10235
2021-10-30,16041
2021-10-24,14117
2021-12-14,35520
2021-10-03,13058
2021-05-30,4984
2021-03-13,8250
2021-12-15,33806
2021-02-10,10222
2021-08-24,32592
2022-01-30,22572
2021-07-20,24549
2021-08-02,27743
2021-09-05,13684
2022-02-03,32300
2021-04-15,14410
2021-06-10,7470
2021-12-23,30703
2021-06-04,8996
2022-03-20,6194
2021-10-22,21271
2021-05-21,8816
2021-08-26,27170
2021-05-31,11837
2021-08-31,34364
2021-05-08,7786
2021-08-01,29050
2022-02-08,33968
2022-03-01,19591
2021-02-12,8962
2022-01-13,34118
2021-04-21,14185
2021-07-17,11273
2021-01-28,8842
2021-03-21,8673
2021-08-29,14245
2022-03-05,14282
2021-02-17,9589
2022-01-09,18688
2022-03-21,7052
2021-04-14,15120
2021-10-11,22783
2021-01-06,5685
2021-03-03,12180
2021-07-22,20861
2021-11-20,18969
2021-12-08,29838
2021-09-21,25112
2021-11-18,25633
2021-04-06,15423
2021-03-23,14764
2021-10-29,21066
2021-05-29,5685
2022-01-23,21235
2021-01-03,4851
2022-01-21,32175
2021-02-08,13542
2021-03-11,12563
2022-02-15,30703
2021-10-05,24074
2021-02-07,4691
2021-06-23,10187
2022-01-22,22892
2021-03-02,12737
2021-08-03,29505
2021-11-28,19486
2021-09-03,25277
2021-05-12,11285
2021-10-09,14764
2021-05-26,9715
2021-10-06,21409
2021-12-10,26009
2021-04-16,14095
2021-04-24,8650
2021-12-07,33392
2021-04-29,14176
2021-08-21,19784
2022-03-14,19106
2021-09-24,21787
2021-10-10,13443
2021-06-02,9507
2021-12-02,29116
2021-02-03,8609
2021-04-30,14152
2021-06-08,10503
2021-02-06,5104
2021-04-20,15437
2022-03-08,17310
2021-10-04,25488
2021-12-19,19065
2021-11-03,28500
2021-01-21,7356
2021-08-25,27311
2021-07-25,14857
2021-01-23,4571
2021-04-19,19796
2021-12-22,34848
2021-06-06,5837
2022-01-15,23777
2022-02-09,27790
2021-12-06,42729
2021-09-28,23747
2021-04-05,17399
2021-02-13,5626
2021-03-20,8930
2021-07-19,22406
2021-12-20,39107
2021-06-13,3546
2022-03-03,17623
2021-11-23,27099
2021-07-11,8969
2021-09-22,18630
2021-07-21,20465
2021-05-22,5519
2021-06-27,6943
2021-07-14,15640
2022-01-20,32695
2021-07-12,17229
2021-05-16,5239
2021-11-19,22873
2021-01-02,4910
2021-09-10,26168
2021-01-11,12641
2021-09-11,15934
2021-12-25,10090
2021-02-14,5240
2021-07-03,7707
2021-03-18,13948
2021-05-13,9579
2021-02-04,7931
2021-04-03,9148
2021-07-13,16955
2021-01-18,12991
2021-07-29,26070
2021-11-30,34232
2022-01-26,30674
2021-12-09,27122
2021-01-26,9406
2021-06-15,9081
2021-06-21,10563
