collection_date,allpos_count
2020-01-01,23449
2020-01-02,1
2020-01-03,2
2020-01-04,1
2020-01-05,2
2020-01-08,2
2020-01-12,2
2020-01-19,10
2020-01-21,1
2020-01-22,3
2020-01-23,2
2020-01-24,1
2020-01-25,9
2020-01-26,1
2020-01-27,1
2020-01-28,6
2020-01-29,29
2020-01-30,18
2020-01-31,6
2020-02-01,33
2020-02-02,13
2020-02-04,9
2020-02-05,6
2020-02-06,6
2020-02-07,7
2020-02-08,3
2020-02-09,1
2020-02-10,2
2020-02-11,5
2020-02-12,4
2020-02-13,1
2020-02-14,4
2020-02-15,2
2020-02-21,6
2020-02-22,3
2020-02-23,1
2020-02-24,4
2020-02-25,1
2020-02-26,7
2020-02-27,7
2020-02-28,40
2020-02-29,8
2020-03-01,116
2020-03-02,29
2020-03-03,58
2020-03-04,55
2020-03-05,52
2020-03-06,85
2020-03-07,122
2020-03-08,97
2020-03-09,197
2020-03-10,257
2020-03-11,214
2020-03-12,282
2020-03-13,413
2020-03-14,447
2020-03-15,520
2020-03-16,842
2020-03-17,802
2020-03-18,739
2020-03-19,511
2020-03-20,469
2020-03-21,405
2020-03-22,493
2020-03-23,756
2020-03-24,784
2020-03-25,715
2020-03-26,727
2020-03-27,773
2020-03-28,685
2020-03-29,551
2020-03-30,687
2020-03-31,681
2020-04-01,851
2020-04-02,685
2020-04-03,673
2020-04-04,381
2020-04-05,349
2020-04-06,469
2020-04-07,473
2020-04-08,414
2020-04-09,356
2020-04-10,336
2020-04-11,306
2020-04-12,348
2020-04-13,512
2020-04-14,369
2020-04-15,316
2020-04-16,293
2020-04-17,351
2020-04-18,241
2020-04-19,226
2020-04-20,342
2020-04-21,418
2020-04-22,387
2020-04-23,382
2020-04-24,288
2020-04-25,189
2020-04-26,177
2020-04-27,351
2020-04-28,303
2020-04-29,328
2020-04-30,384
2020-05-01,473
2020-05-02,191
2020-05-03,147
2020-05-04,243
2020-05-05,200
2020-05-06,222
2020-05-07,196
2020-05-08,192
2020-05-09,159
2020-05-10,133
2020-05-11,255
2020-05-12,259
2020-05-13,287
2020-05-14,343
2020-05-15,204
2020-05-16,120
2020-05-17,95
2020-05-18,194
2020-05-19,225
2020-05-20,185
2020-05-21,165
2020-05-22,257
2020-05-23,124
2020-05-24,77
2020-05-25,120
2020-05-26,189
2020-05-27,158
2020-05-28,146
2020-05-29,104
2020-05-30,128
2020-05-31,85
2020-06-01,190
2020-06-02,116
2020-06-03,95
2020-06-04,81
2020-06-05,78
2020-06-06,64
2020-06-07,48
2020-06-08,68
2020-06-09,113
2020-06-10,70
2020-06-11,113
2020-06-12,96
2020-06-13,174
2020-06-14,98
2020-06-15,208
2020-06-16,244
2020-06-17,175
2020-06-18,251
2020-06-19,216
2020-06-20,154
2020-06-21,197
2020-06-22,265
2020-06-23,230
2020-06-24,252
2020-06-25,179
2020-06-26,199
2020-06-27,147
2020-06-28,133
2020-06-29,154
2020-06-30,147
2020-07-01,106
2020-07-02,203
2020-07-03,166
2020-07-04,132
2020-07-05,141
2020-07-06,270
2020-07-07,282
2020-07-08,272
2020-07-09,170
2020-07-10,173
2020-07-11,201
2020-07-12,153
2020-07-13,303
2020-07-14,308
2020-07-15,272
2020-07-16,306
2020-07-17,335
2020-07-18,336
2020-07-19,271
2020-07-20,317
2020-07-21,431
2020-07-22,290
2020-07-23,468
2020-07-24,341
2020-07-25,279
2020-07-26,164
2020-07-27,354
2020-07-28,376
2020-07-29,378
2020-07-30,326
2020-07-31,271
2020-08-01,323
2020-08-02,317
2020-08-03,381
2020-08-04,338
2020-08-05,296
2020-08-06,372
2020-08-07,192
2020-08-08,177
2020-08-09,203
2020-08-10,215
2020-08-11,237
2020-08-12,274
2020-08-13,269
2020-08-14,194
2020-08-15,158
2020-08-16,146
2020-08-17,265
2020-08-18,205
2020-08-19,246
2020-08-20,237
2020-08-21,235
2020-08-22,121
2020-08-23,127
2020-08-24,276
2020-08-25,166
2020-08-26,216
2020-08-27,292
2020-08-28,289
2020-08-29,140
2020-08-30,144
2020-08-31,249
2020-09-01,255
2020-09-02,251
2020-09-03,332
2020-09-04,232
2020-09-05,162
2020-09-06,91
2020-09-07,264
2020-09-08,322
2020-09-09,329
2020-09-10,226
2020-09-11,127
2020-09-12,82
2020-09-13,100
2020-09-14,265
2020-09-15,251
2020-09-16,366
2020-09-17,204
2020-09-18,545
2020-09-19,202
2020-09-20,183
2020-09-21,320
2020-09-22,213
2020-09-23,266
2020-09-24,412
2020-09-25,195
2020-09-26,186
2020-09-27,264
2020-09-28,224
2020-09-29,254
2020-09-30,236
2020-10-01,333
2020-10-02,374
2020-10-03,291
2020-10-04,176
2020-10-05,444
2020-10-06,349
2020-10-07,268
2020-10-08,354
2020-10-09,267
2020-10-10,170
2020-10-11,197
2020-10-12,413
2020-10-13,300
2020-10-14,317
2020-10-15,325
2020-10-16,369
2020-10-17,174
2020-10-18,138
2020-10-19,293
2020-10-20,406
2020-10-21,339
2020-10-22,294
2020-10-23,192
2020-10-24,103
2020-10-25,74
2020-10-26,226
2020-10-27,158
2020-10-28,214
2020-10-29,175
2020-10-30,186
2020-10-31,143
2020-11-01,592
2020-11-02,456
2020-11-03,270
2020-11-04,259
2020-11-05,238
2020-11-06,274
2020-11-07,151
2020-11-08,114
2020-11-09,428
2020-11-10,331
2020-11-11,298
2020-11-12,768
2020-11-13,456
2020-11-14,440
2020-11-15,155
2020-11-16,288
2020-11-17,279
2020-11-18,316
2020-11-19,295
2020-11-20,324
2020-11-21,228
2020-11-22,354
2020-11-23,379
2020-11-24,342
2020-11-25,276
2020-11-26,152
2020-11-27,251
2020-11-28,193
2020-11-29,233
2020-11-30,554
2020-12-01,698
2020-12-02,551
2020-12-03,314
2020-12-04,330
2020-12-05,195
2020-12-06,197
2020-12-07,487
2020-12-08,444
2020-12-09,526
2020-12-10,468
2020-12-11,433
2020-12-12,409
2020-12-13,288
2020-12-14,1062
2020-12-15,1162
2020-12-16,1008
2020-12-17,720
2020-12-18,671
2020-12-19,503
2020-12-20,611
2020-12-21,911
2020-12-22,934
2020-12-23,712
2020-12-24,621
2020-12-25,330
2020-12-26,839
2020-12-27,807
2020-12-28,1102
2020-12-29,1405
2020-12-30,987
2020-12-31,859
2021-01-01,3469
2021-01-02,1190
2021-01-03,980
2021-01-04,1660
2021-01-05,1670
2021-01-06,1232
2021-01-07,1221
2021-01-08,1522
2021-01-09,1439
2021-01-10,1087
2021-01-11,1808
