primer_name,Alpha,Beta,Delta,Gamma,Omicron,Other variant
Niu-N,0.2035411265171157,0.003408860331416977,0.4279758013001165,0.005639349190245369,0.0035802051628903166,0.09594258445120805
Niu-RdRp,0.0013587344530868373,3.6072596099650546e-05,0.5022071919738473,1.8036298049825273e-05,4.509074512456318e-06,0.050988614586856044
Niu-ORF1ab,0.0011498140006763612,1.5030248374854394e-05,0.0035381204674407246,9.9199639274039e-05,3.006049674970879e-06,0.0022560402810656447
Niu-E,0.0005275617179573892,1.6533273212339833e-05,0.0022349979333408485,7.515124187427197e-06,1.5030248374854395e-06,0.001635291023184158
Won-RdRp-1,0.0011858865967760118,4.3587720287077746e-05,0.49945064442189907,1.0521173862398075e-05,4.509074512456318e-06,0.05078119715928306
Won-RdRp-3,0.034619171081802125,1.6533273212339833e-05,0.006856799308608575,4.659376996204862e-05,0.0002510051478600684,0.00425806936459625
Won-RdRp-2,0.018293315297035283,4.509074512456318e-06,0.0012159470935257206,2.104234772479615e-05,,0.0006763611768684477
Won-N-2,0.004442941419606959,2.705444707473791e-05,0.004609777176567843,4.95998196370195e-05,1.5030248374854395e-06,0.009327772141434636
Won-E-2,0.0010145417653026716,2.855747191222335e-05,0.0022019313869161687,6.012099349941758e-06,0.0029459286814714613,0.008831773945064443
Won-E-1,0.0009754631195280502,3.0060496749708787e-05,0.0019298838913313042,6.012099349941758e-06,0.0029459286814714613,0.008711531958065608
Won-N-1,0.0043768083267575995,3.156352158719423e-05,0.003783113515950851,3.0060496749708787e-05,1.5030248374854395e-06,0.004566189456280765
Won-S-1,0.0008281666854544771,3.3066546424679665e-05,0.0030902190658700637,1.8036298049825273e-05,9.469056476158269e-05,0.0022395070078533048
Won-S-2,0.0008537181076917296,,0.002425882087701499,3.456957126216511e-05,,0.0013196558073122159
Davi-S-2,0.22059144027355052,2.855747191222335e-05,0.023973246157892758,1.6533273212339833e-05,,0.016315334610904446
Davi-S-1,0.22059144027355052,2.104234772479615e-05,0.002962461954683801,1.9539322887310714e-05,,0.01166647878856198
Davi-ORF1a-4,0.0013662495772742644,7.064216736181566e-05,0.08987186713260437,5.110284447450494e-05,,0.01453124412880923
Davi-ORF1b-1,0.001487994589110585,1.6533273212339833e-05,0.009813249163942434,3.6072596099650546e-05,,0.007877353173261189
Davi-ORF1a-1,0.006632848607823244,6.0120993499417575e-05,0.008036673806034645,3.0060496749708787e-05,1.5030248374854395e-06,0.003907864577462143
Davi-ORF1b-2,0.00613985646112802,1.6533273212339833e-05,0.003193927779656559,2.705444707473791e-05,,0.0052049750122120765
Davi-ORF1b-3,0.0060902566414910006,1.9539322887310714e-05,0.002761056626460752,2.254537256228159e-05,,0.004641340698155037
Davi-ORF1a-3,0.00181264795400744,1.9539322887310714e-05,0.008042685905384586,2.4048397399767032e-05,4.509074512456318e-06,0.003426896629466802
Davi-ORF1a-2,0.0009529177469657686,2.4048397399767032e-05,0.003257054822830947,1.6533273212339833e-05,3.006049674970879e-06,0.0015902002780595948
Corman-RdRp,0.0007334761206928944,3.7575620937135983e-05,0.4992507421185135,1.9539322887310714e-05,1.5030248374854395e-06,0.05212339833915756
Corman-E,0.0010100326907902153,3.156352158719423e-05,0.0018036298049825274,7.515124187427197e-06,0.0029459286814714613,0.00875662270319017
Corman-N,0.002496524255063315,5.71149438244467e-05,0.00677262991770939,3.3066546424679665e-05,3.006049674970879e-06,0.004599256002705445
Tombuloglu-RdRp,0.0007304700710179235,3.456957126216511e-05,0.4992312027956262,1.0521173862398075e-05,1.5030248374854395e-06,0.051985120054108894
Tombuloglu-E,0.0011422988764889339,3.156352158719423e-05,0.00278811107353549,9.018149024912637e-06,0.0029459286814714613,0.008952015932063278
Sarkar-S,0.0021192650208544696,0.000680870251380904,0.4927982564911885,0.005669409686995077,3.006049674970879e-06,0.044286626836508476
Sarkar-E,0.0009724570698530793,3.0060496749708787e-05,0.0020546349528425957,7.515124187427197e-06,0.0029459286814714613,0.008819749746364559
Sarkar-RdRp,0.0003742531845338744,1.5030248374854394e-05,0.002541615000187878,2.4048397399767032e-05,1.5030248374854395e-06,0.0008206515612670499
Sarkar-N,0.00028557471912223347,4.509074512456318e-06,0.001046105286889866,1.9539322887310714e-05,,0.00033066546424679666
Young-S,0.1662646075226393,0.003670386653139443,0.010357344155112164,8.41693908991846e-05,6.012099349941758e-06,0.017108931725096758
Young-N,0.001525570210047721,6.913914252433022e-05,0.004970503137564348,0.0007274640213429527,,0.0028407169428474807
Young-ORF1ab,0.0009874873182279338,1.5030248374854394e-05,0.004225002818171571,6.0120993499417575e-05,,0.0014203584714237404
Lu-N-1,0.004865291398940368,0.00033066546424679666,0.028784428662683652,0.0002510051478600684,3.006049674970879e-06,0.014928042685905385
Lu-N-3,0.0075136211625897115,7.515124187427197e-05,0.012535227144628566,5.5611918986961257e-05,,0.0053011686018111445
Lu-N-2,0.0025656633975876452,0.00012324803667380604,0.008117837147258859,2.855747191222335e-05,,0.009130875887724045
Chan-S,0.0022650584300905573,0.002504039379250742,0.016617442603239017,0.0036283019576898506,0.0035291023184158116,0.007402397324615789
Chan-N,0.004430917220907075,1.8036298049825273e-05,0.00839739976703115,7.364821703678653e-05,0.0004193439296584376,0.005114793521962951
Chan-RdRp,0.0015225641603727501,8.266636606169917e-05,0.002986510352083568,4.8096794799534064e-05,4.509074512456318e-06,0.0013948070491864879
IP-RdRp-2,0.036161274565062185,2.104234772479615e-05,0.007342276331116371,3.7575620937135983e-05,0.0002540111975350393,0.005041145304926164
IP-RdRp-1,0.0009288693495660016,1.8036298049825273e-05,0.005565700973208582,5.260586931199038e-05,1.5030248374854395e-06,0.0034419268778416562
Chu-N,0.005884342238755495,3.156352158719423e-05,0.019151542479239468,0.00014729643407357306,,0.0041784090482095216
Chu-ORF1ab,0.002828692744147597,7.515124187427197e-06,0.003688422951189268,2.705444707473791e-05,1.5030248374854395e-06,0.0012099349941757788
Mollaei-E,0.0013527223537368955,2.855747191222335e-05,0.0020501258783301394,4.3587720287077746e-05,0.0029459286814714613,0.008828767895389472
Mollaei-RdRp,0.003341224213730132,2.4048397399767032e-05,0.0033337090895427047,4.20846954495923e-05,1.5030248374854395e-06,0.003073685792657724
Mollaei-S,0.002308646150377635,3.0060496749708787e-05,0.002427385112538985,1.8036298049825273e-05,3.006049674970879e-06,0.0008822755796039529
Mollaei-N,0.000557622214707098,1.3527223537368955e-05,0.0012610378386502838,7.515124187427197e-05,1.5030248374854395e-06,0.0028482320670349076
Mollaei-ORF1ab,0.00037275015969638896,1.2024198699883516e-05,0.0008191485364295645,2.705444707473791e-05,1.5030248374854395e-06,0.00036373201067147636
DMSC-N,0.0019343929658437605,4.509074512456318e-05,0.013863901100965694,6.162401833690302e-05,,0.005177920565137339
Shirato-N,0.0040025551422237255,2.555142223725247e-05,0.006124826212753166,0.00010220568894900988,,0.004525607785668658
Yip-ORF1ab,0.0008522150828542442,1.5030248374854394e-05,0.004748055461616503,5.410889414947582e-05,7.515124187427197e-06,0.0014323826701236237
Huang-E,0.00044489535189569005,1.5030248374854394e-05,0.002035095629955285,7.515124187427197e-06,1.5030248374854395e-06,0.0015451095329350318
