primer,primer_set,number of mismatches per sample,number of samples,samples%
Niu-N,Niu-set,3+,156058,0.23455905008830272
Niu-RdRp,Niu-set,3+,85,0.00012775711118626236
Niu-ORF1ab,Niu-set,3+,0,0.0
Niu-E,Niu-set,3+,1,1.5030248374854395e-06
Won-RdRp-1,Won-set,3+,68,0.00010220568894900988
Won-RdRp-3,Won-set,3+,4,6.012099349941758e-06
Won-RdRp-2,Won-set,3+,0,0.0
Won-N-2,Won-set,3+,1,1.5030248374854395e-06
Won-E-2,Won-set,3+,74,0.00011122383797392251
Won-E-1,Won-set,3+,72,0.00010821778829895164
Won-N-1,Won-set,3+,0,0.0
Won-S-1,Won-set,3+,74,0.00011122383797392251
Won-S-2,Won-set,3+,0,0.0
Davi-S-2,Davi-set,3+,9,1.3527223537368955e-05
Davi-S-1,Davi-set,3+,5,7.515124187427197e-06
Davi-ORF1a-4,Davi-set,3+,13,1.9539322887310714e-05
Davi-ORF1b-1,Davi-set,3+,1,1.5030248374854395e-06
Davi-ORF1a-1,Davi-set,3+,1,1.5030248374854395e-06
Davi-ORF1b-2,Davi-set,3+,0,0.0
Davi-ORF1b-3,Davi-set,3+,0,0.0
Davi-ORF1a-3,Davi-set,3+,3,4.509074512456318e-06
Davi-ORF1a-2,Davi-set,3+,1,1.5030248374854395e-06
Corman-RdRp,Corman-set,3+,103,0.00015481155826100026
Corman-E,Corman-set,3+,74,0.00011122383797392251
Corman-N,Corman-set,3+,1,1.5030248374854395e-06
Tombuloglu-RdRp,Tombuloglu-set,3+,72,0.00010821778829895164
Tombuloglu-E,Tombuloglu-set,3+,74,0.00011122383797392251
Sarkar-S,Sarkar-set,3+,402,0.0006042159846691466
Sarkar-E,Sarkar-set,3+,74,0.00011122383797392251
Sarkar-RdRp,Sarkar-set,3+,0,0.0
Sarkar-N,Sarkar-set,3+,0,0.0
Young-S,Young-set,3+,68,0.00010220568894900988
Young-N,Young-set,3+,0,0.0
Young-ORF1ab,Young-set,3+,0,0.0
Lu-N-1,Lu-set,3+,44,6.613309284935933e-05
Lu-N-3,Lu-set,3+,2,3.006049674970879e-06
Lu-N-2,Lu-set,3+,0,0.0
Chan-S,Chan-set,3+,74,0.00011122383797392251
Chan-N,Chan-set,3+,0,0.0
Chan-RdRp,Chan-set,3+,1,1.5030248374854395e-06
IP-RdRp-2,IP-set,3+,2,3.006049674970879e-06
IP-RdRp-1,IP-set,3+,7,1.0521173862398075e-05
Chu-N,Chu-set,3+,0,0.0
Chu-ORF1ab,Chu-set,3+,1,1.5030248374854395e-06
Mollaei-E,Mollaei-set,3+,72,0.00010821778829895164
Mollaei-RdRp,Mollaei-set,3+,0,0.0
Mollaei-S,Mollaei-set,3+,2,3.006049674970879e-06
Mollaei-N,Mollaei-set,3+,0,0.0
Mollaei-ORF1ab,Mollaei-set,3+,0,0.0
DMSC-N,DMSC-set,3+,13,1.9539322887310714e-05
Shirato-N,Shirato-set,3+,1,1.5030248374854395e-06
Yip-ORF1ab,Yip-set,3+,3,4.509074512456318e-06
Huang-E,Huang-set,3+,3,4.509074512456318e-06
Niu-N,Niu-set,2,18565,0.027903656107917185
Niu-RdRp,Niu-set,2,20605,0.03096982677638748
Niu-ORF1ab,Niu-set,2,178,0.0002675384210724082
Niu-E,Niu-set,2,67,0.00010070266411152444
Won-RdRp-1,Won-set,2,20556,0.030896178559350694
Won-RdRp-3,Won-set,2,713,0.0010716567091271184
Won-RdRp-2,Won-set,2,38,5.71149438244467e-05
Won-N-2,Won-set,2,320,0.0004809679479953406
Won-E-2,Won-set,2,291,0.00043738022770826285
Won-E-1,Won-set,2,283,0.00042535602900837936
Won-N-1,Won-set,2,212,0.00031864126554691317
Won-S-1,Won-set,2,318,0.00047796189832036975
Won-S-2,Won-set,2,83,0.00012475106151129146
Davi-S-2,Davi-set,2,3248,0.0048818246721527075
Davi-S-1,Davi-set,2,1801,0.0027069477323112766
Davi-ORF1a-4,Davi-set,2,3323,0.004994551534964115
Davi-ORF1b-1,Davi-set,2,246,0.0003697441100214181
Davi-ORF1a-1,Davi-set,2,361,0.0005425919663322436
Davi-ORF1b-2,Davi-set,2,176,0.0002645323713974373
Davi-ORF1b-3,Davi-set,2,155,0.00023296884981024313
Davi-ORF1a-3,Davi-set,2,318,0.00047796189832036975
Davi-ORF1a-2,Davi-set,2,158,0.00023747792432269942
