pos,cnt,cov,mutation_rate
1,0.0,677822,0.0
2,0.0,676743,0.0
3,0.0,668227,0.0
4,0.0,653823,0.0
5,0.0,653241,0.0
6,0.0,650126,0.0
7,0.0,640723,0.0
8,3.0,638741,7.604755507110446e-05
9,1.0,637796,2.4756151903748083e-05
10,3.0,637203,7.319393954180594e-05
11,32.0,634678,0.0007354293068578783
12,8.0,630871,0.00016906528033136794
13,94.0,629010,0.0019113460756405042
14,42.0,626293,0.0008092953349904618
15,5.0,627028,9.772878308119307e-05
16,0.0,625312,0.0
17,0.0,620847,0.0
18,7.0,562027,6.026015168341038e-05
19,17.0,558072,0.000141527497960339
20,70.0,557950,0.000582168995342648
21,481.0,556854,0.003964198589041999
22,81.0,554718,0.0006560191784372165
23,4.0,497625,2.2152687397889956e-05
24,4.0,491120,2.138237023574063e-05
25,4.0,477467,1.99279604230706e-05
26,28.0,466138,0.000132043083771905
27,16.0,466081,7.543291420920376e-05
28,34.0,463519,0.00015838189601762698
29,9.0,462082,4.164584374479427e-05
30,4.0,461900,1.8493689028618982e-05
31,1.0,290535,2.579613315963937e-06
32,3.0,281904,7.5702901439869184e-06
33,11.0,276357,2.737455609668693e-05
34,2.0,264600,4.83570685945018e-06
35,0.0,252619,0.0
36,36.0,239096,8.19870005055865e-05
37,107.0,223929,0.00023554740556640345
38,4.0,216755,8.668609880048111e-06
39,5.0,139778,9.286568650030088e-06
40,88.0,114341,0.00015607015353401353
41,3.0,113176,5.309602947891557e-06
42,5.0,113076,8.84777230788832e-06
43,8.0,111893,1.4126862759294152e-05
44,221.0,109887,0.0003888770603005791
45,17.0,109042,2.9869208009164575e-05
46,6.0,105455,1.0476049132670432e-05
47,1.0,105119,1.744984478363065e-06
48,4.0,95725,6.867365421098264e-06
49,0.0,95569,0.0
50,26.0,82252,4.362869962982727e-05
51,0.0,81677,0.0
52,2.0,81194,3.350106198366488e-06
53,3.0,80231,5.017066387494795e-06
54,49.0,80393,8.196762446114651e-05
55,8.0,79801,1.3369229715118426e-05
56,6.0,78753,1.0009392146297275e-05
57,25.0,78396,4.1680977135483184e-05
58,7.0,78439,1.1671510343459203e-05
59,41.0,77565,6.826222684703434e-05
60,30.0,77548,4.994655718381332e-05
61,377.0,76781,0.0006268612541548265
62,6.0,77367,9.98630212225564e-06
63,36.0,76895,5.987077890220275e-05
64,367.0,76079,0.0006095221645178381
65,8.0,76031,1.3285527576603522e-05
66,478.0,75573,0.0007932069622994373
67,3.0,75695,4.9792944339787054e-06
68,4.0,75571,6.6376931361274705e-06
69,20.0,75139,3.316469088020748e-05
70,0.0,62541,0.0
71,3.0,54791,4.812327257502819e-06
72,0.0,54192,0.0
73,4.0,55146,6.420092320927575e-06
74,1.0,54917,1.6044333702887819e-06
75,1.0,52734,1.5988334910849046e-06
76,4.0,95158,6.860686891971624e-06
77,9.0,96340,1.5467904098994586e-05
78,36.0,95593,6.179228523318864e-05
79,3.0,101855,5.2053059418567325e-06
80,6.0,102251,1.041776993744129e-05
81,6.0,102629,1.0424611813517594e-05
82,30.0,100834,5.196100845925218e-05
83,20.0,95246,3.430861283416589e-05
84,80.0,92284,0.00013654067375995467
85,4.0,89806,6.798281394463479e-06
86,20.0,89258,3.395977803889074e-05
87,14.0,89421,2.3778425834240592e-05
88,127.0,88740,0.0002154550852489609
89,5.0,88958,8.485621962147338e-06
90,48.0,88613,8.141430211829837e-05
91,212.0,88328,0.0003594060983755523
92,112.0,87878,0.00018973017658458578
93,19.0,87823,3.218337068298194e-05
94,185.0,87461,0.00031317236837873205
95,36.0,87022,6.089639493341994e-05
96,110.0,86731,0.00018598076958842457
97,42.0,87116,7.105709268213456e-05
98,139.0,86697,0.00023499855450529424
99,64.0,87146,0.0001082829704725875
100,247.0,86560,0.0004174906613931004
101,273.0,86717,0.00046155953018988186
102,24.0,85751,4.051049981517084e-05
103,150.0,85544,0.00025310218916520146
104,8.0,85856,1.3505893634334683e-05
105,826.0,85016,0.0013925087748282966
106,1722.0,84960,0.0029027527265984526
107,7.0,85083,1.180225490510144e-05
108,7.0,84108,1.1782885190933238e-05
109,3.0,83499,5.0446366264160715e-06
110,139.0,80766,0.0002326655775462653
111,91.0,84806,0.00015335769080393135
112,1.0,82372,1.678364869809237e-06
113,11.0,83462,1.8495850203790642e-05
114,7.0,78445,1.1671627108187646e-05
115,5.0,78673,8.34004707122567e-06
116,30.0,78356,5.001383716161471e-05
117,52.0,78198,8.666782223762983e-05
118,14.0,78698,2.335310562943292e-05
119,214.0,77955,0.0003565270269144585
120,22.0,78009,3.6655608891317785e-05
121,139.0,77093,0.0002312438757804481
122,32.0,78147,5.3329511385017405e-05
123,16.0,77371,2.6630316284937728e-05
124,37.0,77686,6.161491014214726e-05
125,19.0,76940,3.16008316008316e-05
126,17.0,77397,2.829593553852991e-05
127,232.0,74026,0.00038400169490403267
128,2.0,74163,3.311110264938488e-06
129,69.0,75370,0.00011446202846620882
130,58.0,74258,9.603730221283191e-05
131,1.0,74626,1.656825125421662e-06
132,32.0,74295,5.298934417407e-05
133,22.0,74815,3.64615703335405e-05
134,18.0,74120,2.9797871107653085e-05
135,18.0,75403,2.9861294288032092e-05
136,22.0,75637,3.6511311038199127e-05
137,76.0,75458,0.00012609252536782516
138,3.0,75929,4.981229068460352e-06
139,5.0,75689,8.298741412877323e-06
140,400.0,75114,0.0006632663213260021
141,44.0,76081,7.307646954289007e-05
142,8.0,76356,1.329270197429856e-05
143,24.0,75380,3.981353992136826e-05
144,38.0,74966,6.299484105406946e-05
145,22.0,74854,3.6463927231260854e-05
146,11.0,74674,1.8226525891608508e-05
147,342.0,74753,0.0005667534473358445
148,24.0,75192,3.980112703524722e-05
149,22.0,74532,3.644447683953497e-05
