pos,cnt,cov,mutation_rate
1,1,1251607,0.0005691519635742744
2,810,1250280,0.26264591439688717
3,0,1240759,0.0
4,2,1218627,5.757549586895817e-05
5,2,1217923,5.6431816258006264e-05
6,4,1214210,0.00010216069877917965
7,1,1202314,1.958863858961802e-05
8,7,1198536,0.00012767199241263587
9,1,1197390,1.7865437524564978e-05
10,8,1196475,0.00014062472534233332
11,43,1193117,0.0007137284844058625
12,16,1187589,0.00024325351577347015
13,192,1184560,0.002790535433986396
14,53,1180790,0.0007302890842450464
15,5,1182189,7.024938531787847e-05
16,4,1179408,5.408621342419817e-05
17,2,1172093,2.4609024129148157e-05
18,8,1079155,4.592185248752935e-05
19,30,1073986,0.00016724458963752523
20,78,1073823,0.0004344411582869651
21,1431,1072243,0.007900795600731004
22,1723,1064260,0.009111388442338606
23,6,954064,2.0046775810223854e-05
24,7,945645,2.2748026608691697e-05
25,6,915412,1.775400056812802e-05
26,33,894311,9.190843691599847e-05
27,73,894019,0.00020314739317369102
28,112,889688,0.00030796643165894916
29,11,885882,2.993343891673606e-05
30,7,884547,1.8979602350217047e-05
31,2,542838,2.8148160658441775e-06
32,3,527163,4.131087674073707e-06
33,23,518115,3.128191945857798e-05
34,2,498931,2.6509975040858497e-06
35,1,483915,1.2996312946017214e-06
36,47,464673,5.95924132518312e-05
37,145,443805,0.00017910986104780505
38,5,432154,6.088576612559516e-06
39,6,282751,6.181660455815036e-06
40,113,224584,0.00010983883823558
41,7,222164,6.788207913110938e-06
42,7,221846,6.786115220480883e-06
43,8,219658,7.73914439889098e-06
44,361,215266,0.000347751368367919
45,37,213233,3.557244231736195e-05
46,6,206043,5.728902600062445e-06
47,2,205264,1.9082148649937983e-06
48,4,186478,3.749229064773556e-06
49,0,186206,0.0
50,39,159229,3.564459595936516e-05
51,0,158219,0.0
52,3,157381,2.737268735007751e-06
53,3,155912,2.7336047499116134e-06
54,54,156127,4.92145270347245e-05
55,8,155393,7.286166938835361e-06
56,9,153523,8.183000997416899e-06
57,54,150929,4.898247969268029e-05
58,14,150659,1.2696051981264255e-05
59,78,149022,7.063029387635352e-05
60,43,148347,3.891342848119079e-05
61,1011,146732,0.0009135828351249558
62,8,147487,7.234077569205255e-06
63,132,146710,0.00011927847366927694
64,497,145378,0.00044856162442485735
65,29,145181,2.6168963068374087e-05
66,1077,144419,0.0009711933414190965
67,9,144625,8.117329687149094e-06
68,13,144375,1.172238858996798e-05
69,36,143763,3.244409476920082e-05
70,0,126177,0.0
71,6,114854,5.270045937233753e-06
72,1,113446,8.772560833323099e-07
73,4,115441,3.5151763344268463e-06
74,1,114910,8.783841947061541e-07
75,5,111345,4.378210870397078e-06
76,5,201189,4.75206120654834e-06
77,23,207203,2.198514377806093e-05
78,83,206821,7.930873361151907e-05
79,5,215728,4.8186454594867565e-06
80,13,215941,1.2531050497241723e-05
81,30,216367,2.8929688321181255e-05
82,77,212725,7.399299853263236e-05
83,66,201621,6.275297292209219e-05
84,230,196805,0.00021768779594892476
85,8,193363,7.547162691355952e-06
86,26,192085,2.449874161271447e-05
87,37,192305,3.4870822451908894e-05
88,210,191342,0.00019773601676801423
89,8,191712,7.5354259211116264e-06
90,60,191116,5.648398490747923e-05
91,319,190543,0.00030014461513274576
92,260,189777,0.0002444557897003254
93,36,189662,3.3844065349129736e-05
94,260,189031,0.00024428444857013735
95,104,188284,9.764524730536673e-05
96,228,187781,0.00021396737748256118
97,63,188387,5.915620712935584e-05
98,233,188147,0.00021873477422910075
99,394,188821,0.0003701118696003825
100,1138,187975,0.001068154448750644
