pos,cnt,cov,mutation_rate
1,0.0,312422,0.0
2,0.0,312366,0.0
3,0.0,312044,0.0
4,0.0,305833,0.0
5,0.0,305794,0.0
6,0.0,305568,0.0
7,0.0,304624,0.0
8,0.0,303338,0.0
9,0.0,303241,0.0
10,2.0,303143,0.00018876828692779613
11,1.0,302801,9.143275121148396e-05
12,4.0,302175,0.00034593098676813974
13,23.0,301729,0.001915230243983679
14,8.0,301273,0.0006417970316887284
15,0.0,301948,0.0
16,1.0,301514,8.18062827225131e-05
17,0.0,299906,0.0
18,0.0,275945,0.0
19,6.0,275458,0.00015673981191222572
20,2.0,275437,5.221795775567217e-05
21,231.0,275200,0.005994083761482173
22,17.0,271141,0.0003990891377327042
23,0.0,226149,0.0
24,2.0,224570,2.242957114659968e-05
25,2.0,208365,1.8980194167386333e-05
26,4.0,198809,3.480409644215124e-05
27,22.0,198770,0.00019135759515691322
28,64.0,198042,0.0005531738348776103
29,0.0,197433,0.0
30,1.0,197190,8.580155815629612e-06
31,1.0,121501,5.2019122229331506e-06
32,0.0,118605,0.0
33,2.0,116407,1.01352549776771e-05
34,0.0,112070,0.0
35,1.0,110758,4.9265937530791214e-06
36,0.0,108580,0.0
37,33.0,106037,0.00015888223937294475
38,0.0,103929,0.0
39,1.0,71429,4.126961854491579e-06
40,24.0,57631,9.371083180077077e-05
41,0.0,57100,0.0
42,0.0,56976,0.0
43,0.0,56440,0.0
44,132.0,55487,0.0005111306442182218
45,3.0,54866,1.1588738836181588e-05
46,0.0,53382,0.0
47,0.0,53183,0.0
48,0.0,49160,0.0
49,0.0,49098,0.0
50,8.0,42893,2.9537189167235873e-05
51,0.0,42731,0.0
52,0.0,42545,0.0
53,0.0,42284,0.0
54,2.0,42308,7.368382271672255e-06
55,0.0,42252,0.0
56,1.0,41894,3.6785803622665942e-06
57,6.0,39823,2.1904605443294453e-05
58,6.0,39756,2.1899248855764248e-05
59,19.0,39499,6.928263303177155e-05
60,9.0,39341,3.279919241099575e-05
61,436.0,39007,0.001587006926775646
62,1.0,39128,3.6415279851425658e-06
63,49.0,38950,0.00017831928614058838
64,88.0,38705,0.0003199616046074471
65,15.0,38672,5.453236677742796e-05
66,332.0,38545,0.0012064260355459623
67,2.0,38572,7.268339838497489e-06
68,6.0,38579,2.1805574231626078e-05
69,13.0,38559,4.724197704039916e-05
70,0.0,36925,0.0
71,1.0,35543,3.59460090943403e-06
72,1.0,35358,3.5922120842014514e-06
73,0.0,35975,0.0
74,0.0,35787,0.0
75,1.0,35158,3.589633139493144e-06
76,1.0,54655,3.8597669472717234e-06
77,2.0,58387,7.832356246891533e-06
78,42.0,58933,0.0001648319302996409
79,1.0,59176,3.928316088025707e-06
80,7.0,58836,2.746153423668704e-05
81,5.0,58868,1.961784439125829e-05
82,21.0,58163,8.216766115621638e-05
83,10.0,56926,3.8938990389857174e-05
84,39.0,56591,0.00015166422318751532
85,2.0,56091,7.76255884989928e-06
86,3.0,55638,1.162340178225494e-05
87,15.0,55720,5.813547892007534e-05
88,4.0,55634,1.5497628862783995e-05
89,0.0,55712,0.0
90,4.0,55604,1.5495827748378748e-05
91,55.0,55487,0.00021297110175759243
92,90.0,55349,0.00034831204114726245
93,9.0,55329,3.482850829498972e-05
94,38.0,55184,0.00014697123231510633
95,46.0,55071,0.0001778348223778062
96,71.0,54982,0.00027438977260430675
97,9.0,55044,3.4790138155504185e-05
98,46.0,55419,0.00017807439638586398
99,26.0,55508,0.00010068543546450838
100,610.0,55385,0.002361110573517629
101,71.0,55466,0.0002749039772023293
102,7.0,55090,2.7063808728464942e-05
103,42.0,55016,0.0001623364074180008
104,4.0,55102,1.546575109420189e-05
105,103.0,54867,0.00039788157035743673
106,589.0,54822,0.002274869069505168
107,4.0,54881,1.545254715924236e-05
108,0.0,54530,0.0
109,0.0,54409,0.0
110,70.0,54424,0.0002699430034629831
111,9.0,55876,3.490238965027806e-05
112,2.0,55052,7.731380901942895e-06
113,7.0,55466,2.710320901994796e-05
114,3.0,54127,1.1555750719345482e-05
115,0.0,54251,0.0
116,4.0,54141,1.5408498557379322e-05
117,71.0,54094,0.0002734513410669994
118,5.0,54283,1.927116455647415e-05
119,75.0,54067,0.00028882701572374275
120,17.0,54134,6.548435309163187e-05
121,26.0,53722,9.999384653252107e-05
122,12.0,54151,4.622727640444244e-05
123,2.0,53876,7.696392700741163e-06
124,81.0,53925,0.0003117626908584251
125,15.0,53766,5.7698521379225454e-05
126,6.0,53931,2.3094065979746504e-05
127,40.0,52938,0.00015337423312883436
128,0.0,52969,0.0
129,17.0,53325,6.528091915534171e-05
130,3.0,53004,1.1505979273896002e-05
131,0.0,53096,0.0
132,4.0,52960,1.5338717223078635e-05
133,2.0,53065,7.672447856126257e-06
134,9.0,52817,3.4493199090912576e-05
135,2.0,53267,7.678397979045652e-06
136,1.0,53366,3.8406587497887635e-06
137,16.0,53333,6.144275263531807e-05
138,0.0,53429,0.0
139,4.0,53290,1.535815210713847e-05
140,1154.0,53207,0.004429415309502516
141,9.0,53674,3.460686600221484e-05
142,0.0,53710,0.0
143,722.0,53567,0.0027750979163703874
144,8.0,53357,3.072420798752597e-05
145,56.0,53317,0.00021503642179394135
146,9.0,53141,3.453608445223851e-05
147,116.0,53154,0.00044515396187026063
148,3.0,53367,1.1522020501515146e-05
149,11.0,53043,4.219490208864765e-05
150,5.0,53075,1.9181855499246153e-05
151,29.0,52990,0.00011121849448509673
152,18.0,53110,6.906395322068235e-05
153,8.0,53324,3.0720314576021255e-05
154,0.0,53380,0.0
155,15.0,53377,5.761231520849897e-05
156,13.0,53940,5.003887635778567e-05
157,12.0,53283,4.6073218022307115e-05
158,26.0,53592,9.994387766869373e-05
159,1.0,53375,3.840791510314445e-06
160,45.0,53130,0.00017267313359528488
161,20.0,53536,7.686336000491925e-05
162,72.0,53224,0.00027637670144406825
163,2.0,54458,7.71366862079605e-06
164,0.0,53103,0.0
165,17.0,53344,6.528568246580182e-05
166,0.0,53466,0.0
167,44.0,53572,0.00016912279083354474
168,29.0,53613,0.00011148486304661221
169,12.0,53954,4.619222122994488e-05
170,4.0,54103,1.54062433801298e-05
171,33.0,53739,0.00012692356509063496
172,11.0,54046,4.235787009226314e-05
173,47.0,53700,0.00018074281451172522
174,978.0,53629,0.003759962169705777
175,33.0,53794,0.00012695042009048103
176,80.0,53646,0.00030758347046429724
177,71.0,54155,0.00027351560002003214
178,17.0,53802,6.540071402191309e-05
179,43.0,53635,0.0001653191235779672
180,40.0,53914,0.00015395036640187203
181,9.0,54362,3.469866140275122e-05
182,6.0,53854,2.3087223530498223e-05
183,40.0,53778,0.00015386982612709647
184,3.0,53844,1.1543167599098094e-05
185,64.0,53797,0.0002462097168203554
186,352.0,53998,0.0013552013552013552
187,16.0,54379,6.169055247745403e-05
188,67.0,54255,0.00025820573987505923
189,88.0,54103,0.00033893735436285556
190,84.0,54057,0.0003234738005475949
191,67.0,54471,0.0002584208557201649
192,52.0,53867,0.0002000992800273982
193,342.0,53833,0.0013158654123622093
194,15.0,55105,5.799723933140783e-05
195,9.0,54253,3.468408578530551e-05
196,3.0,53900,1.1545655369884313e-05
197,4.0,53767,1.5386331552365455e-05
198,85.0,53842,0.0003270538984824699
199,170.0,53581,0.0006534515696291086
200,11.0,55019,4.251717113934423e-05
201,1911.0,54615,0.0073748760241275375
202,22.0,54229,8.477547984848309e-05
203,5710.0,54262,0.022005888791256225
204,5016.0,54032,0.019314147536060006
205,17.0,54201,6.55012580094553e-05
206,32.0,54327,0.0001233563727058606
207,167.0,54199,0.0006434485761292137
208,76.0,54426,0.00029308323563892143
209,19.0,54882,7.33998825601879e-05
210,28168.0,54237,0.10854678787364981
211,10.0,54876,3.863062172122598e-05
212,27.0,54352,0.0001040919710393005
213,64.0,54455,0.0002468345398657066
214,25.0,54385,9.639371821417141e-05
215,17.0,54670,6.561983726280359e-05
216,72.0,54201,0.0002774170927459283
217,36.0,54273,0.0001387470371726437
218,36.0,54237,0.00013872778910293217
219,202.0,54239,0.0007784230382390684
220,22.0,54532,8.487457852055893e-05
221,137.0,54544,0.0005285616179386869
222,6043.0,54327,0.02329508000817236
223,49.0,54574,0.00018906946952508837
224,88.0,54663,0.0003396699797355978
225,24.0,54323,9.251585297689031e-05
226,0.0,54532,0.0
227,12.0,54544,4.629736799462951e-05
228,20.0,54404,7.712062436857489e-05
229,2.0,54795,7.723707534090514e-06
230,66.0,54158,0.00025425687649279605
231,19.0,54738,7.335907335907336e-05
232,20.0,54829,7.724721813455693e-05
233,35.0,53924,0.00013471175533266106
234,10.0,54711,3.860601404486791e-05
235,11.0,52992,4.218664907611238e-05
236,42.0,52512,0.00016078032048877217
237,30.0,52506,0.00011484044833711031
238,6.0,53473,2.305342631548614e-05
239,20.0,53567,7.687251845901349e-05
240,46.0,53349,0.0001766587682275365
241,221219.0,53692,0.8506918006814179
242,57.0,52692,0.0002183523210468653
243,29.0,52730,0.0001111077055109422
244,29.0,52655,0.00011107578815932099
245,144.0,52544,0.0005513143487216399
246,44.0,52606,0.00016849715852519033
247,44.0,52525,0.00016844490894404185
248,47.0,52431,0.00017986506293363744
249,2.0,52440,7.654096089522308e-06
250,6.0,52160,2.2937708828724128e-05
251,7.0,52464,2.679179711720263e-05
252,52.0,52175,0.00019880487683655564
253,12.0,52404,4.591825020854539e-05
254,17.0,52310,6.50274645409061e-05
255,7.0,52193,2.6764036781433405e-05
256,53.0,52083,0.00020255680189562591
257,54.0,52152,0.0002064330659897701
258,24.0,52487,9.186567706917868e-05
259,17.0,52272,6.501801381441564e-05
260,14.0,51846,5.345715027568616e-05
261,5.0,51670,1.9079017659538746e-05
262,6.0,51784,2.2904784809546716e-05
263,5.0,51808,1.9089069598747758e-05
264,21.0,51841,8.018419454976575e-05
265,6.0,51655,2.2893510834354003e-05
266,0.0,51693,0.0
267,0.0,51824,0.0
268,0.0,51983,0.0
269,50.0,51749,0.00019084770734649164
270,6.0,51953,2.2919571404014743e-05
271,9.0,51829,3.4363080306518674e-05
272,10.0,53943,3.849188783463885e-05
273,1.0,53288,3.839508542906508e-06
274,233.0,53557,0.0008955304192081666
275,413.0,53740,0.0015884737574904423
276,0.0,53790,0.0
277,334.0,53762,0.001284733975443887
278,24.0,51606,9.155692551844109e-05
279,5.0,51897,1.9095557991300063e-05
280,54.0,52122,0.0002064093939208611
281,10.0,52254,3.824325771366508e-05
282,38.0,52148,0.00014526549180014526
283,1.0,52164,3.823009932179804e-06
284,36.0,52243,0.00013766993632765445
285,7.0,52137,2.6758307498824547e-05
286,9.0,52573,3.4460972948136234e-05
287,12.0,52480,4.5931607835932294e-05
288,11.0,52573,4.211896693661095e-05
289,17.0,52190,6.49976294982183e-05
290,0.0,52156,0.0
291,11.0,52373,4.20867369387638e-05
292,64.0,51983,0.00024450344788065176
293,13.0,52149,4.969627927779838e-05
294,2.0,52021,7.641842142466863e-06
295,9.0,52021,3.438828964110088e-05
296,1.0,52038,3.821169277799006e-06
297,2.0,51987,7.640849509648483e-06
298,20.0,52145,7.645464519310532e-05
299,5.0,52212,1.9118558001881266e-05
300,94.0,51617,0.00035861300697006345
301,1.0,52036,3.821140075352882e-06
302,5.0,51578,1.9072322245956667e-05
303,3.0,52445,1.1481363832938502e-05
304,62.0,51599,0.00023651574164851473
305,9.0,51589,3.4331620566929495e-05
306,12.0,51779,4.580869525383743e-05
307,31.0,51553,0.00011823712264240899
308,3.0,51534,1.144147305151714e-05
309,11.0,51765,4.198905994129166e-05
310,4.0,52087,1.528753950873492e-05
311,45.0,51441,0.00017156124545839258
312,4.0,51588,1.5258439824527942e-05
313,275.0,51369,0.0010481421204486811
314,67.0,51733,0.0002557203106810939
315,12.0,51509,4.576152904522383e-05
316,2.0,52057,7.642893446601015e-06
317,4.0,51857,1.527411305134775e-05
318,2.0,51499,7.626630668969909e-06
319,18.0,51272,6.858031135461354e-05
320,5.0,48657,1.8862159113629417e-05
321,5.0,32968,1.780817038857428e-05
322,1.0,32843,3.560049128677976e-06
323,17.0,33146,6.058618919997719e-05
324,2.0,31329,7.081927275688806e-06
325,17.0,31067,6.014058746740911e-05
326,4.0,30635,1.4129133213000216e-05
327,2.0,29964,7.04786203105288e-06
328,1.0,22511,3.4337475577470495e-06
329,1.0,22156,3.4295669828727425e-06
330,4.0,22130,1.3717044799868316e-05
331,8.0,18502,2.709696649460093e-05
332,7.0,18154,2.3681931362996643e-05
333,0.0,18063,0.0
334,3.0,17809,1.0137566781221172e-05
335,334.0,17620,0.0011279287311139479
336,8.0,17558,2.7010601661152002e-05
337,250.0,17499,0.0008439131917134476
338,2.0,17251,6.745658325660147e-06
339,0.0,17459,0.0
340,28.0,17075,9.438318900570682e-05
341,13.0,16441,4.372731645458918e-05
342,2.0,16480,6.7281620679678935e-06
343,60.0,15907,0.00020145653071708451
344,178.0,15830,0.0005974998992977697
345,21.0,15844,7.049487401558944e-05
346,894.0,15406,0.0029966614375930172
347,205.0,14890,0.0006859674483349395
348,6.0,14519,2.0052202567350335e-05
349,0.0,14333,0.0
350,27.0,14036,9.008948889229969e-05
351,8.0,13936,2.668427829033829e-05
352,24.0,14203,8.012419249837247e-05
353,61.0,14050,0.0002035450201542938
354,29.0,13522,9.659711674261198e-05
355,157.0,13664,0.000523204276278518
356,11.0,14744,3.6790035920453256e-05
357,4.0,14974,1.3388493928318003e-05
358,17.0,15018,5.6909480449919656e-05
359,9.0,15012,3.012794333268614e-05
360,7.0,14993,2.3431354499656897e-05
361,32.0,14957,0.00010710185721314273
362,99.0,14975,0.0003313663338499078
363,11.0,15239,3.6851044727118016e-05
364,274.0,15077,0.0009174281208460429
365,6.0,15126,2.009296344420184e-05
366,17.0,14919,5.6890626098072746e-05
367,41.0,14911,0.00013720313090851896
368,26.0,14936,8.701414314495886e-05
369,2.0,15306,6.7016941882908e-06
370,119.0,14309,0.00039742309529137125
371,7.0,13616,2.3323848301690645e-05
372,5.0,13112,1.6631961307405213e-05
373,126.0,12825,0.00041872567818605376
374,321.0,12839,0.0010668031465707762
375,5.0,13130,1.66329572067277e-05
376,377.0,12914,0.0012532244767704704
377,14.0,12824,4.6524920741474306e-05
378,10.0,13335,3.328861562634195e-05
379,71.0,13349,0.000236360186291775
380,35.0,13423,0.00011654429515675208
381,20.0,13157,6.653780511742259e-05
382,218.0,13131,0.0007251993466552675
383,12.0,13110,3.9916441582287746e-05
384,55.0,13065,0.0001829229761235628
385,8.0,13547,2.6649699691196605e-05
386,25.0,13562,8.328447310910933e-05
387,7.0,13570,2.3320273979904587e-05
388,74.0,13528,0.00024649412078211916
389,10.0,13470,3.3303582133294256e-05
390,18.0,13778,6.0008001066808905e-05
391,15.0,14017,5.0046543285255286e-05
392,24.0,13645,7.997520768561746e-05
393,26.0,13619,8.66323025200004e-05
394,10.0,13665,3.3325224195445774e-05
395,0.0,13711,0.0
396,20.0,14251,6.678086194058506e-05
397,14.0,14251,4.674660335840955e-05
398,115.0,14135,0.00038384128329823134
399,14.0,14164,4.6733027565810116e-05
400,51.0,14256,0.00017029404104420298
401,28.0,14258,9.349539201282223e-05
402,3.0,14859,1.0037506817140046e-05
403,21.0,14878,7.026701465569163e-05
404,0.0,14913,0.0
405,5.0,15088,1.6742005692281936e-05
406,7.0,14987,2.3430883913359286e-05
407,31.0,14739,0.00010367927651931947
408,21.0,15380,7.038524189061463e-05
409,15.0,15087,5.022584890055617e-05
410,31.0,16949,0.00010445131052700741
411,21.0,18001,7.100903843617809e-05
412,29.0,18050,9.807635074808582e-05
413,2.0,18165,6.766517916047812e-06
414,17.0,17927,5.746912724678933e-05
