pos,cnt,cov,mutation_rate
1,0.0,3134,0.0
2,0.0,3134,0.0
3,0.0,3129,0.0
4,0.0,3105,0.0
5,0.0,3106,0.0
6,0.0,3105,0.0
7,0.0,3087,0.0
8,0.0,3086,0.0
9,0.0,3085,0.0
10,0.0,3083,0.0
11,0.0,3078,0.0
12,0.0,3069,0.0
13,0.0,3059,0.0
14,0.0,3054,0.0
15,0.0,3058,0.0
16,0.0,3056,0.0
17,0.0,3034,0.0
18,0.0,2981,0.0
19,0.0,2974,0.0
20,0.0,2978,0.0
21,0.0,2974,0.0
22,0.0,2973,0.0
23,0.0,2969,0.0
24,0.0,2962,0.0
25,0.0,2962,0.0
26,0.0,2972,0.0
27,0.0,2964,0.0
28,0.0,2950,0.0
29,0.0,2841,0.0
30,0.0,2812,0.0
31,0.0,1952,0.0
32,0.0,1940,0.0
33,0.0,1937,0.0
34,0.0,1902,0.0
35,0.0,1895,0.0
36,0.0,1857,0.0
37,0.0,1814,0.0
38,0.0,1795,0.0
39,0.0,1486,0.0
40,0.0,1085,0.0
41,0.0,1058,0.0
42,0.0,1046,0.0
43,0.0,1031,0.0
44,0.0,986,0.0
45,0.0,970,0.0
46,0.0,892,0.0
47,0.0,883,0.0
48,0.0,648,0.0
49,0.0,647,0.0
50,0.0,324,0.0
51,0.0,316,0.0
52,0.0,314,0.0
53,0.0,312,0.0
54,0.0,312,0.0
55,0.0,310,0.0
56,0.0,300,0.0
57,0.0,301,0.0
58,0.0,300,0.0
59,0.0,298,0.0
60,0.0,298,0.0
61,0.0,293,0.0
62,0.0,293,0.0
63,0.0,289,0.0
64,1.0,283,0.0003471017007983339
65,0.0,283,0.0
66,8.0,283,0.0027768136063866713
67,0.0,282,0.0
68,0.0,281,0.0
69,0.0,280,0.0
70,0.0,271,0.0
71,0.0,264,0.0
72,0.0,260,0.0
73,0.0,260,0.0
74,0.0,260,0.0
75,0.0,251,0.0
76,0.0,540,0.0
77,0.0,544,0.0
78,0.0,537,0.0
79,0.0,547,0.0
80,0.0,542,0.0
81,0.0,538,0.0
82,0.0,516,0.0
83,0.0,471,0.0
84,0.0,448,0.0
85,0.0,441,0.0
86,0.0,433,0.0
87,0.0,433,0.0
88,0.0,432,0.0
89,0.0,430,0.0
90,0.0,429,0.0
91,0.0,427,0.0
92,3.0,424,0.0010948905109489052
93,0.0,426,0.0
94,0.0,422,0.0
95,10.0,416,0.00363901018922853
96,0.0,413,0.0
97,0.0,416,0.0
98,0.0,413,0.0
99,0.0,413,0.0
100,2.0,413,0.0007270083605961468
101,0.0,414,0.0
102,0.0,406,0.0
103,0.0,407,0.0
104,0.0,405,0.0
105,0.0,401,0.0
106,2.0,403,0.0007243752263672582
107,0.0,401,0.0
108,0.0,396,0.0
109,1.0,386,0.0003599712023038157
110,0.0,385,0.0
111,0.0,396,0.0
112,0.0,386,0.0
113,0.0,391,0.0
114,0.0,365,0.0
115,0.0,365,0.0
116,0.0,365,0.0
117,0.0,365,0.0
118,0.0,366,0.0
119,1.0,364,0.00035714285714285714
120,0.0,364,0.0
121,0.0,363,0.0
122,0.0,366,0.0
123,1.0,363,0.0003570153516601214
124,0.0,365,0.0
125,0.0,362,0.0
126,0.0,363,0.0
127,1.0,343,0.0003544842254519674
128,0.0,342,0.0
129,0.0,347,0.0
130,0.0,342,0.0
131,0.0,346,0.0
132,0.0,346,0.0
133,0.0,346,0.0
134,0.0,342,0.0
135,0.0,344,0.0
136,0.0,347,0.0
137,0.0,348,0.0
138,0.0,350,0.0
139,0.0,350,0.0
140,0.0,348,0.0
