pos,cnt,cov,mutation_rate
1,0.0,208797,0.0
2,0.0,208654,0.0
3,0.0,208020,0.0
4,0.0,206573,0.0
5,0.0,206504,0.0
6,0.0,206165,0.0
7,0.0,204806,0.0
8,0.0,204374,0.0
9,0.0,204303,0.0
10,1.0,204120,0.00016160310277957336
11,2.0,203706,0.0003029385034837928
12,1.0,202802,0.0001332267519317879
13,32.0,202212,0.003952569169960474
14,2.0,201734,0.00023326335432703523
15,0.0,201888,0.0
16,1.0,201456,0.00011296882060551288
17,1.0,200395,0.00010087763542822556
18,0.0,191795,0.0
19,6.0,191155,0.00031326685114603454
20,1.0,191141,5.217300568685762e-05
21,60.0,190985,0.0031051079024996117
22,20.0,190792,0.0010248001639680262
23,0.0,190301,0.0
24,1.0,190058,4.938271604938271e-05
25,0.0,189787,0.0
26,1.0,189792,4.8742444921037236e-05
27,8.0,189644,0.00038714672861014324
28,2.0,188735,9.270847819033051e-05
29,1.0,187154,4.3189081800120926e-05
30,0.0,186344,0.0
31,0.0,95568,0.0
32,0.0,93686,0.0
33,3.0,92915,2.5555186425084973e-05
34,0.0,90869,0.0
35,0.0,90144,0.0
36,10.0,87060,8.113721926522134e-05
37,5.0,84272,3.967120505252468e-05
38,1.0,82170,7.804086219544554e-06
39,0.0,47579,0.0
40,1.0,32457,5.622684156962851e-06
41,4.0,31930,2.242428999091816e-05
42,2.0,31863,1.1207935218134439e-05
43,0.0,31455,0.0
44,4.0,30566,2.225411979392685e-05
45,16.0,30133,8.880255307340086e-05
46,0.0,28740,0.0
47,0.0,28564,0.0
48,0.0,24934,0.0
49,0.0,24900,0.0
50,2.0,19665,1.0490812670803544e-05
51,0.0,19480,0.0
52,0.0,19350,0.0
53,0.0,19152,0.0
54,1.0,19171,5.231849406446685e-06
55,0.0,19111,0.0
56,0.0,18759,0.0
57,18.0,18600,9.38927952928412e-05
58,1.0,18432,5.211699222414476e-06
59,14.0,17948,7.27802037845706e-05
60,2.0,17402,1.0367743875255306e-05
61,191.0,16992,0.000988019615551739
62,1.0,17048,5.17437648763324e-06
63,46.0,16942,0.00023789083913407734
64,24.0,16729,0.00012398039043491288
65,6.0,16606,3.097541584495772e-05
66,222.0,16460,0.0011452271883124923
67,4.0,16525,2.0641645551983405e-05
68,3.0,16432,1.5473808000990323e-05
69,0.0,16472,0.0
70,0.0,16029,0.0
71,1.0,15033,5.120983228779925e-06
72,0.0,14442,0.0
73,0.0,14882,0.0
74,0.0,14919,0.0
75,3.0,14435,1.531604662204592e-05
76,0.0,40928,0.0
77,11.0,42023,6.536530290875598e-05
78,4.0,41877,2.3748597348469107e-05
79,1.0,44282,6.023153000132509e-06
80,0.0,44447,0.0
81,3.0,44440,1.8086671329008608e-05
82,10.0,44064,6.0152546858834e-05
83,33.0,42809,0.0001970161015886662
84,101.0,42519,0.0006019464923207123
85,1.0,42330,5.953160532926931e-06
86,1.0,42114,5.945515297810861e-06
87,6.0,42107,3.567160718426169e-05
88,76.0,41957,0.0004514377698974167
89,3.0,42023,1.7826900793297086e-05
90,6.0,41913,3.563051159476232e-05
91,16.0,41759,9.49278844727646e-05
92,44.0,41619,0.0002608350277730024
93,5.0,41573,2.9632263608617062e-05
94,33.0,41486,0.0001954721541031382
95,3.0,41332,1.775400056812802e-05
96,39.0,41235,0.000230669592424574
97,8.0,41384,4.735857545405034e-05
98,38.0,41189,0.00022469385462307607
99,294.0,41331,0.0017398817590559663
100,262.0,41190,0.0015492141581617568
101,31.0,41223,0.0001833397403672709
102,17.0,40881,0.00010033819875226499
103,34.0,40831,0.00020061719289343096
104,3.0,41041,1.7723478291693004e-05
105,34.0,40686,0.00020044569690252443
106,406.0,40642,0.0023929367109497483
107,4.0,40748,2.359046945034206e-05
108,10.0,40433,5.886681383370125e-05
109,3.0,40229,1.7638861940627592e-05
110,37.0,40160,0.00021745774267108636
111,0.0,41872,0.0
112,0.0,40929,0.0
113,1.0,41334,5.918070235657557e-06
114,1.0,39878,5.867511588335387e-06
115,0.0,39955,0.0
116,4.0,39871,2.346908241755018e-05
117,25.0,39793,0.00014661466733131983
118,19.0,40052,0.00011159665444976976
119,83.0,39723,0.0004865609520180555
120,4.0,39750,2.3452432603571806e-05
121,26.0,39516,0.00015223195465829782
122,2.0,40001,1.1743498505639816e-05
123,32.0,39622,0.00018747876217147275
124,0.0,39758,0.0
125,10.0,39473,5.853601428278749e-05
126,115.0,39678,0.0006739729238703628
127,45.0,38522,0.0002619538262722224
128,0.0,38635,0.0
129,8.0,39104,4.6727880189715196e-05
130,1.0,38601,5.823874390677142e-06
131,0.0,38854,0.0
132,4.0,38670,2.3304862559573056e-05
133,2.0,39060,1.1678968513500887e-05
134,4.0,38665,2.3304183683575795e-05
135,1.0,39194,5.844057178255432e-06
136,6.0,39245,3.5074797004612335e-05
137,44.0,39233,0.00025719713575916994
138,0.0,39462,0.0
139,5.0,39284,2.9235662830947705e-05
140,83.0,39070,0.00048470549761151145
141,3.0,39565,1.757026642380654e-05
142,2.0,39773,1.1727797812765707e-05
143,25.0,39170,0.00014608094052752748
144,7.0,39114,4.0889283502926505e-05
145,59.0,38993,0.0003443948282403759
146,1.0,38962,5.83614440955727e-06
147,80.0,38913,0.0004667580734560518
148,0.0,39105,0.0
149,140.0,38856,0.0008165550708069897
150,0.0,38806,0.0
151,29.0,38734,0.00016902327858533343
152,63.0,38960,0.0003676728062189229
153,12.0,39035,7.006358270130143e-05
154,1.0,39035,5.838631891775119e-06
155,0.0,39248,0.0
156,3.0,39950,1.7609974289437536e-05
157,54.0,39034,0.0003152842813269965
158,11.0,39213,6.42917677313773e-05
159,10.0,38988,5.8370301190754146e-05
160,177.0,38873,0.0010324612827018987
161,21.0,39023,0.00012260267974428585
162,71.0,39011,0.00041448478373818574
163,10.0,40353,5.8839104468829987e-05
164,0.0,38776,0.0
165,23.0,39149,0.0001343779760339801
166,1.0,39097,5.840746213736267e-06
167,10.0,39624,5.858779967659535e-05
168,3.0,39461,1.755957084408857e-05
169,9.0,39815,5.278809100666889e-05
170,3.0,40098,1.7625286410904177e-05
171,97.0,39537,0.000568012133207629
172,22.0,40025,0.00012919669021569974
173,52.0,39526,0.00030448173695120097
174,1210.0,39467,0.007082608975597193
175,30.0,40091,0.00017624561589030472
176,37.0,39578,0.0002167164528788145
177,75.0,40512,0.0004417065184103277
178,17.0,40013,9.982677119116826e-05
179,53.0,39783,0.0003108048673215071
180,177.0,40034,0.0010395010395010396
181,1.0,40821,5.900157534206163e-06
182,3.0,40010,1.7616178698516717e-05
183,13.0,40202,7.642293628678589e-05
184,0.0,40188,0.0
185,18.0,40199,0.00010581450716893285
186,606.0,40746,0.0035739139665726992
187,21.0,41029,0.0001240555532582305
188,70.0,40869,0.00041312802837599374
189,729.0,40690,0.0042978929123088355
190,70.0,40713,0.00041274801733541674
191,6.0,41168,3.5473572188719404e-05
192,19.0,40559,0.00011192996718684646
193,55.0,40505,0.00032390476022213976
194,0.0,41261,0.0
195,6.0,40802,3.5396977098155815e-05
196,1.0,40813,5.899879052479424e-06
197,2.0,40854,1.1802613098540017e-05
198,38.0,41028,0.00022448015122873347
199,211.0,40800,0.001244779007480473
200,3.0,42291,1.785533606718368e-05
201,146.0,41980,0.0008673542132027946
202,15.0,41446,8.882993213393185e-05
203,883.0,41735,0.005238086763597966
204,129.0,41332,0.0007634220244295048
205,27.0,41603,0.00016004267804747933
206,8.0,41589,4.741611792388528e-05
207,51.0,41627,0.00030234584808010384
208,12.0,41482,7.107909919088293e-05
209,7.0,42999,4.1838753444225956e-05
210,1507.0,40396,0.00886929704788361
211,2.0,41395,1.184041488813768e-05
212,8.0,40459,4.710065999799822e-05
213,15.0,40607,8.839075786235791e-05
214,89.0,40412,0.0005238498846353063
215,9.0,41109,5.319180373406462e-05
216,10.0,40345,5.8836334967022236e-05
217,10.0,40488,5.888587916617595e-05
218,24.0,40461,0.00014130364386771624
219,184.0,40533,0.0010837873656309822
220,8.0,40971,4.724307150829411e-05
221,24.0,40679,0.00014148524132076473
222,526.0,40252,0.0030930987439431717
223,6.0,40757,3.5387582497301694e-05
224,5.0,40585,2.945976679648604e-05
225,17.0,40370,0.00010003648389412609
226,0.0,40922,0.0
227,0.0,40602,0.0
228,9.0,40402,5.2970466022388854e-05
229,2.0,41004,1.1813069980626566e-05
230,1.0,40225,5.879482370372112e-06
231,11.0,41044,6.498723886945836e-05
232,13.0,40683,7.663964627855564e-05
233,28.0,40411,0.00016480573523958633
234,1.0,41572,5.926417599089702e-06
235,2.0,40992,1.1812232748234072e-05
236,6.0,40417,3.531676192382174e-05
237,20.0,40366,0.00011768721093078815
238,14.0,41509,8.293887996966807e-05
239,24.0,41538,0.00014220536825265153
240,28.0,41334,0.0001657059665984116
241,143541.0,41842,0.8520472973775124
242,30.0,40693,0.00017687114936768564
243,6.0,40856,3.5408257205580345e-05
244,18.0,40728,0.00010614459252270315
245,46.0,40745,0.0002712855988629595
246,23.0,40732,0.0001356324008114356
247,79.0,40640,0.0004656152014522479
248,8.0,40491,4.710953555886631e-05
249,27.0,40681,0.00015917277320237933
250,5.0,39994,2.9357539603320926e-05
251,3.0,40761,1.7694208685497238e-05
252,19.0,40475,0.00011187460623082675
253,1.0,40930,5.9039544687031374e-06
254,12.0,40521,7.067678915346875e-05
255,3.0,40560,1.767325682776822e-05
256,15.0,40495,8.833245982345285e-05
257,12.0,40315,7.059114198819952e-05
258,210.0,40870,0.0012393913998040582
259,6.0,40738,3.5383617385150676e-05
260,5.0,40043,2.936598831233665e-05
261,0.0,39805,0.0
262,0.0,39940,0.0
263,0.0,40017,0.0
264,2.0,39971,1.1741430223615539e-05
265,119.0,40031,0.0006988612672292793
266,0.0,39707,0.0
267,0.0,39990,0.0
268,0.0,40980,0.0
269,70.0,39692,0.00041027805129647865
270,16.0,39741,9.380478052612756e-05
271,8.0,39745,4.690349020596495e-05
272,33.0,40943,0.00019484545213001506
273,1.0,40230,5.879655217018074e-06
274,35.0,40546,0.00020617099233043908
275,29.0,41109,0.000171395812031986
276,5.0,40876,2.9510364039850796e-05
277,54.0,40764,0.00031850139196904636
278,12.0,39494,7.025185289262004e-05
279,8.0,40261,4.704581674478233e-05
280,36.0,39825,0.0002111647495644727
281,22.0,40049,0.00012921490200224365
282,2.0,39932,1.1738742545898484e-05
283,15.0,40080,8.811711351834011e-05
284,214.0,39902,0.0012558243254345504
285,3.0,39773,1.7591696719148562e-05
286,30.0,40332,0.0001764955052477997
287,0.0,40243,0.0
288,1.0,40387,5.88508777608418e-06
289,50.0,39276,0.0002923429533654521
290,0.0,39284,0.0
291,8.0,39748,4.6904315196998124e-05
292,313.0,39216,0.0018294251046220747
293,20.0,39253,0.0001169214580105814
294,5.0,39117,2.9207142898867347e-05
295,6.0,39197,3.50649578343882e-05
296,1.0,39027,5.838359187533936e-06
297,0.0,38900,0.0
298,5.0,39131,2.9209531654369452e-05
299,0.0,39318,0.0
300,14.0,38561,8.151525208591708e-05
301,2.0,38994,1.1674469103517518e-05
302,1.0,38472,5.819502316161922e-06
303,0.0,39712,0.0
304,47.0,38498,0.00027355800011640767
305,3.0,38442,1.7455459485878533e-05
306,0.0,38928,0.0
307,36.0,38429,0.00020944967098947514
308,3.0,38405,1.7451702413570443e-05
309,3.0,38719,1.7483638228557774e-05
310,3.0,39081,1.752060130703686e-05
311,34.0,38268,0.0001976284584980237
312,2.0,38368,1.1631964638827498e-05
313,136.0,38230,0.0007903392647520311
