pos,cnt,cov,mutation_rate
1,0.0,40096,0.0
2,0.0,40095,0.0
3,0.0,40090,0.0
4,0.0,40069,0.0
5,0.0,40057,0.0
6,0.0,40037,0.0
7,0.0,39923,0.0
8,0.0,39873,0.0
9,0.0,39854,0.0
10,0.0,39826,0.0
11,0.0,39776,0.0
12,0.0,39666,0.0
13,1.0,39583,0.0019157088122605363
14,0.0,39504,0.0
15,0.0,39359,0.0
16,0.0,39234,0.0
17,0.0,39115,0.0
18,0.0,39059,0.0
19,0.0,39027,0.0
20,0.0,39017,0.0
21,407.0,38937,0.348458904109589
22,0.0,37437,0.0
23,0.0,29861,0.0
24,0.0,29803,0.0
25,0.0,29719,0.0
26,0.0,29499,0.0
27,0.0,29452,0.0
28,3.0,29387,0.0002799029669714499
29,0.0,29365,0.0
30,0.0,29389,0.0
31,0.0,29173,0.0
32,0.0,27028,0.0
33,0.0,26541,0.0
34,0.0,25630,0.0
35,0.0,24702,0.0
36,0.0,24547,0.0
37,0.0,24489,0.0
38,0.0,24413,0.0
39,0.0,20550,0.0
40,0.0,17523,0.0
41,0.0,17373,0.0
42,0.0,17364,0.0
43,0.0,17331,0.0
44,0.0,16869,0.0
45,0.0,16760,0.0
46,0.0,16155,0.0
47,1.0,16100,4.16579879191835e-05
48,0.0,14746,0.0
49,0.0,14728,0.0
50,2.0,13048,7.39180249103744e-05
51,0.0,12966,0.0
52,0.0,12939,0.0
53,0.0,12902,0.0
54,2.0,12907,7.353481873667182e-05
55,0.0,12889,0.0
56,1.0,12797,3.661930569796397e-05
57,0.0,12816,0.0
58,0.0,12745,0.0
59,4.0,12728,0.00014610804690068306
60,2.0,12781,7.319572536963841e-05
61,1.0,12690,3.647638154295094e-05
62,0.0,12681,0.0
63,0.0,12666,0.0
64,7.0,12621,0.00025469363993596274
65,0.0,12630,0.0
66,6.0,12603,0.00021816595156715876
67,0.0,12595,0.0
68,0.0,12552,0.0
69,1.0,12352,3.6032140669477175e-05
70,0.0,9453,0.0
71,1.0,8281,3.1422825540472596e-05
72,0.0,8252,0.0
73,0.0,8223,0.0
74,0.0,8063,0.0
75,0.0,7833,0.0
76,0.0,8615,0.0
77,1.0,8576,3.1716832122807575e-05
78,0.0,8562,0.0
79,0.0,8524,0.0
80,0.0,8518,0.0
81,0.0,8545,0.0
82,15.0,7818,0.00046458326880787935
83,0.0,4880,0.0
84,1.0,3687,2.74589488714372e-05
85,0.0,3434,0.0
86,0.0,3388,0.0
87,0.0,3375,0.0
88,0.0,3331,0.0
89,0.0,3338,0.0
90,0.0,3308,0.0
91,24.0,3285,0.0006518196632265073
92,2.0,3265,5.428881650380022e-05
93,1.0,3270,2.7148092846477534e-05
94,1.0,3241,2.712673611111111e-05
95,7.0,3206,0.00018970703813111467
96,8.0,3194,0.00021673755790956625
97,3.0,3199,8.128759551292472e-05
98,4.0,3198,0.00010838052401983363
99,0.0,3191,0.0
100,5.0,3200,0.00013548299688389108
101,2.0,3193,5.4182921543129604e-05
102,1.0,3135,2.704895861509332e-05
103,2.0,3123,5.4080363420042185e-05
104,0.0,3123,0.0
105,8.0,3102,0.00021619868659297894
106,43.0,3102,0.0011620679404372618
107,0.0,3106,0.0
108,0.0,3044,0.0
109,0.0,2996,0.0
110,0.0,2965,0.0
111,0.0,3005,0.0
112,0.0,2955,0.0
113,1.0,2960,2.6921523758244717e-05
114,2.0,2821,5.3642313056539e-05
115,0.0,2841,0.0
116,0.0,2812,0.0
117,0.0,2786,0.0
118,1.0,2827,2.682547346960674e-05
119,4.0,2800,0.00010722423267658491
120,0.0,2801,0.0
121,3.0,2767,8.034709946970914e-05
122,0.0,2778,0.0
123,1.0,2794,2.68017474739353e-05
124,3.0,2781,8.037723716643446e-05
125,3.0,2733,8.027400192657604e-05
126,0.0,2750,0.0
127,1.0,2530,2.6613439787092483e-05
128,0.0,2535,0.0
129,3.0,2512,7.980209081477934e-05
130,1.0,2524,2.660919081450733e-05
131,0.0,2519,0.0
132,0.0,2485,0.0
133,0.0,2511,0.0
134,0.0,2505,0.0
135,3.0,2591,7.997014447939436e-05
136,0.0,2713,0.0
137,0.0,2625,0.0
138,2.0,2652,5.340026166128214e-05
139,0.0,2598,0.0
140,17.0,2574,0.0004529588873198156
141,0.0,2593,0.0
142,0.0,2569,0.0
143,0.0,2604,0.0
144,0.0,2557,0.0
145,8.0,2551,0.00021302657506523938
146,0.0,2546,0.0
147,30.0,2537,0.0007985519591141397
148,1.0,2573,2.664393051262922e-05
149,0.0,2473,0.0
150,1.0,2479,2.6577366714505926e-05
151,0.0,2464,0.0
152,2.0,2454,5.311943905872354e-05
153,0.0,2510,0.0
154,0.0,2466,0.0
155,0.0,2455,0.0
156,1.0,2476,2.6575247814185868e-05
157,5.0,2436,0.0001327351403010433
158,0.0,2481,0.0
159,0.0,2408,0.0
160,3.0,2389,7.954183900731785e-05
161,0.0,2407,0.0
162,12.0,2386,0.000318142050425515
163,0.0,2410,0.0
164,0.0,2344,0.0
165,1.0,2352,2.6487961221624773e-05
166,0.0,2351,0.0
167,0.0,2350,0.0
168,0.0,2370,0.0
169,0.0,2385,0.0
170,1.0,2383,2.6509729070568897e-05
171,9.0,2364,0.00023846744919318514
172,0.0,2370,0.0
173,7.0,2323,0.0001852734106188132
174,13.0,2315,0.0003440063508864779
175,1.0,2301,2.645222727753677e-05
176,6.0,2293,0.00015867978419549348
